start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2019-04-27T14:51:51.656+03:00,2019-04-27T14:53:59.243+03:00,4/27/2019,ee.humanitarianresponse.info:EeFsRTlzl1QjZcp8,4/26/2019,???,SDF,,YE13,YE1303,Abd Al Azeez Al Qabati shop,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,100,100,,,yes,yes,,100,100,,,yes,yes,,600,600,,,YE13,Wholesaler,10,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,525,,no,,,,,,,,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,54121908,72c9d1b0-123c-4c5d-acc2-a0cd0ad8c79e,2019-04-27T11:54:03,,134
2019-04-27T15:09:41.947+03:00,2019-04-27T15:11:38.519+03:00,4/27/2019,ee.humanitarianresponse.info:EeFsRTlzl1QjZcp8,4/26/2019,???,SDF,,YE13,YE1303,Al Haj food supplies,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,100,100,,,yes,yes,,100,100,,,yes,yes,,600,600,,,YE13,Wholesaler,9,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,525,,no,,,,,,,,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,54123750,c0a7cfb4-53cc-4b53-b4a1-d40c26675a40,2019-04-27T12:11:43,,138
2019-04-28T11:06:57.676+03:00,2019-04-28T11:20:01.975+03:00,4/28/2019,ee.humanitarianresponse.info:EtvEJoFfiqnbid3N,4/21/2019,Najah,SI,,YE15,YE1505,The public street,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,380,380,,,yes,yes,,380,380,,,YE24,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,15,2100,105,,,no,,,,,,,yes,no,5760,7200,100,,,yes,no,4800,4800,100,,,yes,no,120,3800,317,,,YE24,Wholesaler,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,505,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,54166842,17ee4439-dbc8-447a-b704-16fac7aa6fda,2019-04-28T08:20:03,,147
2019-05-05T09:14:46.644+03:00,2019-05-05T09:22:02.655+03:00,5/5/2019,ee.humanitarianresponse.info:WnOLuC21knpIED0l,4/21/2019,Abdulaziz,SCI,,YE18,YE1807,Az-Zaydiyah Central Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,125,125,,,yes,yes,,130,130,,,yes,yes,,150,150,,,yes,yes,,320,320,,,YE18,Wholesaler,3,Price_inflation Insecurity_and_instability Supply_shortage,1,0,0,1,1,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,505,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,54748665,0b8467ca-d365-4a5d-94a6-f24477b5d207,2019-05-05T06:21:57,,204
2019-04-28T10:19:55.337+03:00,2019-04-28T10:35:12.256+03:00,4/28/2019,ee.humanitarianresponse.info:EtvEJoFfiqnbid3N,4/24/2019,Tahani,SI,,YE18,YE1820,Al Khawkha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,390,390,,,yes,yes,,390,390,,,YE24,3,Insecurity_and_instability Other_see_next_question,0,0,0,1,0,0,0,1,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,15,2200,110,,,no,,,,,,,yes,no,5760,8000,111,,,yes,no,4800,4800,100,,,yes,no,240,8000,333,,,YE24,Wholesaler,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Public,Pumping_Station_or_Borehole,no,2000,3,,7,yes,10000,0,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,500,,yes,dmg_infra_market,1,0,0,0,0,0,,electrical,0,1,0,0,0,,yes,yes,yes,yes,yes,yes,"question 8.8 is calculated by minutes, question 8.9 is the total price water+transmission fees (this is applicable to all questionnaires I send)",v2ZtbFxdMLUeS6K3smMjSx,54164079,50844b12-e45b-4213-b50d-0457d5abb92c,2019-04-28T07:35:18,,143
2019-04-28T11:26:11.472+03:00,2019-04-28T11:31:51.207+03:00,4/28/2019,ee.humanitarianresponse.info:EtvEJoFfiqnbid3N,4/21/2019,Najah,SI,,YE15,YE1505,The public street,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,380,380,,,yes,yes,,390,390,,,YE24,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,15,2000,100,,,no,,,,,,,yes,no,5760,8000,111,,,yes,no,4800,4700,98,,,yes,no,240,8000,333,,,YE24,Wholesaler,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,505,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,54167605,e1524f70-ddf0-45a5-bae3-8339a46ba495,2019-04-28T08:31:54,,149
2019-04-28T08:59:46.594+03:00,2019-04-28T09:17:05.069+03:00,4/28/2019,ee.humanitarianresponse.info:EtvEJoFfiqnbid3N,4/24/2019,Tahani,SI,,YE18,YE1820,Al Khawkhah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,390,390,,,yes,yes,,390,390,,,YE24,4,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,15,2150,108,,,no,,,,,,,yes,no,5760,7500,104,,,yes,no,4800,4750,99,,,yes,yes,,340,340,,,YE24,Wholesaler,3,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,505,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,54160870,d9c2f92c-3b4a-4e11-ba24-f2d3ddcf14ea,2019-04-28T06:17:08,,139
2019-04-25T22:40:44.595+03:00,2019-04-25T22:48:56.736+03:00,4/25/2019,ee.humanitarianresponse.info:HkuZP1pEn8XYpNQN,4/24/2019,????,TYF,,YE18,YE1824,old market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,no,,,,,,,no,,,,,,,YE18,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,130,,,no,,,,,,,yes,yes,,120,120,,,yes,yes,,120,120,,,yes,yes,,350,350,,,YE18,Vendor,14,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,525,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,no,no,"Traders of Zubaid city don't import goods in large quantities because the inability of people to buy goods, resulting in stock accumulation",v2ZtbFxdMLUeS6K3smMjSx,53994606,eb6a9fb7-836c-49c0-b68e-7cb28764ad8b,2019-04-25T19:49:00,,90
2019-04-25T22:08:23.610+03:00,2019-04-25T22:40:39.450+03:00,4/25/2019,ee.humanitarianresponse.info:HkuZP1pEn8XYpNQN,4/24/2019,????,TYF,,YE18,YE1824,central market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,no,,,,,,,no,,,,,,,YE18,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,no,,,,,,,no,,,,,,,yes,yes,,120,120,,,yes,yes,,120,120,,,yes,yes,,350,350,,,YE18,Vendor,15,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,525,,no,,,,,,,,,,,,,,,,no,no,yes,yes,no,no,Traders of Zubaid city don't import goods in large quantities because people are unable to purchase enough goods that allow to inventory consumption,v2ZtbFxdMLUeS6K3smMjSx,53993910,315bda5d-cdff-4e86-aa9d-2c4fdbf88640,2019-04-25T19:40:43,,89
2019-04-25T23:27:39.418+03:00,2019-04-25T23:30:54.988+03:00,4/25/2019,ee.humanitarianresponse.info:HkuZP1pEn8XYpNQN,4/25/2019,????,TYF,,YE18,YE1824,Al Trebah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,no,,,,,,,no,,,,,,,YE18,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,no,,,,,,,yes,yes,,110,110,,,yes,yes,,110,110,,,yes,yes,,350,350,,,YE18,Vendor,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,525,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,no,no,"Traders of Zubaid city don't import goods because the inability of people to buy, resulting in stock accumulation",v2ZtbFxdMLUeS6K3smMjSx,53997508,578fe48e-7d36-47e3-9959-ccd563e6e4fc,2019-04-25T20:31:07,,97
