date_survey,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,further_comments,_uuid
1/15/2019,YE17,Hajjah,YE1704,Abs,Abs Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,NaN,,,yes,yes,,450,NaN,,,YE26,10,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,50,NaN,,,yes,yes,75,160,170.6666667,,,yes,yes,,100,NaN,,,yes,yes,,400,NaN,,,YE17,Wholesaler,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Do_not_know,Water_Spring,no,1500,8,,15,yes,2000,3000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,510,,b94245ae-1d04-4be6-af57-91d06ce24eec
1/20/2019,YE17,Hajjah,YE1704,Abs,Al Raboua'a Market,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,NaN,,,yes,yes,,450,NaN,,,YE18,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,50,NaN,,,yes,yes,75,160,170.6666667,,,yes,yes,,100,NaN,,,yes,yes,,400,NaN,,,YE18,Wholesaler,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Do_not_know,Pumping_Station_or_Borehole,no,1500,8,,10,yes,1500,2000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,520,,e1575c85-7642-4884-b568-875f79c2ebcf
1/23/2019,YE17,Hajjah,YE1704,Abs,Al Rozoom,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,345,NaN,,,yes,yes,,410,NaN,,,YE18,14,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,50,NaN,,,yes,yes,130,130,80,,,yes,yes,,80,NaN,,,yes,yes,,450,NaN,,,YE18,Wholesaler,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Public,Pumping_Station_or_Borehole,no,1000,2,,3,yes,500,1000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,530,,d8f82a40-650f-46a8-ad1e-3243014a6add
1/6/2019,YE17,Hajjah,YE1704,Abs,Shafr,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,NaN,,,yes,yes,,450,NaN,,,YE18,10,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,50,NaN,,,yes,yes,75,160,170.6666667,,,yes,yes,,100,NaN,,,yes,yes,,400,NaN,,,YE17,Wholesaler,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Do_not_know,Water_Spring,no,1500,6,,10,yes,2000,3000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,500,,70d3008f-71cd-44f9-abf5-de03d3b8c857
1/28/2019,YE17,Hajjah,YE1704,Abs,Shafr,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,345,NaN,,,yes,yes,,410,NaN,,,YE18,14,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,,,yes,yes,,50,NaN,,,yes,yes,130,130,80,,,yes,yes,,80,NaN,,,yes,yes,,450,NaN,,,YE18,Wholesaler,4,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,1000,1,,3,no,,,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,yes,450,,7210cc2f-16dd-47b1-b91b-b6cc3c16488c
1/28/2019,YE17,Hajjah,YE1704,Abs,Shafr,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,345,NaN,,,yes,yes,,410,NaN,,,YE18,14,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,,,yes,yes,,50,NaN,,,yes,yes,130,130,80,,,yes,yes,,80,NaN,,,yes,yes,,450,NaN,,,YE18,Wholesaler,4,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Public,Pumping_Station_or_Borehole,no,1000,1,,3,yes,500,1000,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,540,,13d64525-84c0-4e1d-9ea4-40abeb146704
1/24/2019,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Al Share' Al Aam,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,280,NaN,,,Yes,Yes,,300,NaN,,,YE19,20,Price Inflation Liquidity Shortage Shortage of Demand Supply Shortage,1,1,1,0,1,0,0,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,95,NaN,,,Yes,Yes,,95,NaN,,,Yes,Yes,250,600,192,,,Yes,Yes,,48,NaN,,,Yes,Yes,,500,NaN,,,YE30,Wholesaler,7,Price Inflation Shortage of Demand Supply Shortage,1,0,1,0,1,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping Station or Borehole,No,2500,10,,15,No,,,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,Yes,530,,3adb60da-395a-4b49-8797-6385e90c023d
1/24/2019,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Al Share' Al Aam,Urban,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,275,NaN,,,Yes,Yes,,300,NaN,,,YE24,20,Price Inflation Liquidity Shortage Shortage of Demand Supply Shortage,1,1,1,0,1,0,0,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,95,NaN,,,Yes,Yes,,450,NaN,,,Yes,Yes,250,720,230.4,,,Yes,No,110,80,72.72727273,,,Yes,Yes,,500,NaN,,,YE30,Wholesaler,12,Price Inflation Shortage of Demand Supply Shortage,1,0,1,0,1,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping Station or Borehole,No,2500,10,,20,Yes,0,1000,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,Yes,530,,8b1800b4-0112-40e2-a062-b10da6968516
1/24/2019,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Al Share' Al Aam,Urban,Yes,Cash Credit debit Credit,1,0,1,0,1,0,0,0,0,,Yes,Yes,,290,NaN,,,No,,,,,,,YE19,30,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,95,NaN,,,Yes,Yes,,100,NaN,,,Yes,Yes,250,600,192,,,Yes,Yes,,60,NaN,,,Yes,Yes,,550,NaN,,,YE30,Wholesaler,6,Liquidity Shortage Supply Shortage,0,1,0,0,1,0,0,0,0,0,0,Yes,Cash Prepaid cards Credit,1,0,0,1,1,0,0,0,0,,6,Public,Pumping Station or Borehole,No,2500,10,,15,Yes,15000,16000,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,Yes,530,,9a853c77-8c84-466c-a7f6-8392a0438ade
1/24/2019,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Senah,Rural,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,275,NaN,,,Yes,Yes,,300,NaN,,,YE24,15,Price Inflation Shortage of Demand Supply Shortage Transportation Issues,1,0,1,0,1,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,100,NaN,,,Yes,Yes,,80,NaN,,,Yes,Yes,250,800,256,,,Yes,Yes,,85,NaN,,,Yes,Yes,,450,NaN,,,YE26,Wholesaler,15,Shortage of Demand Supply Shortage Transportation Issues,0,0,1,0,1,0,1,0,0,0,0,Yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping Station or Borehole,No,2000,10,,10,No,,,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,Yes,530,,ee6aa7e9-7fd8-4d23-aac5-cf285c6ba7d9
