Date,country_ID,country_name,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,_uuid
2019-03-20,YE,Yemen,YE18,Al Hudaydah,YE1820,Al Khawkhah,Al Khawkhah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,400,400,,,YE24,7,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,no,15,2100,105,,,no,,,,,,,yes,no,8640,8000,74,,,yes,no,8640,8000,93,,,yes,no,160,7500,468,,,YE24,Wholesaler,7,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4.5,Private,Treatment_Station,yes,2000,1,,28,yes,20000,22000,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,580,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,a4e4568d-402d-4969-b6dd-f604f05fea9c
2019-03-20,YE,Yemen,YE18,Al Hudaydah,YE1820,Al Khawkhah,Al Khawkhah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,no,,,,,,,YE24,10,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,no,15,2100,105,,,no,,,,,,,yes,no,5760,4700,65,,,no,,,,,,,yes,no,240,7200,300,,,YE24,Wholesaler,7,Price_inflation Shortage_of_demand Supply_shortage,1,0,1,0,1,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,4.5,Private,Treatment_Station,yes,4000,5,,40,yes,8000,8000,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability Transportation_issues,1,1,1,1,0,0,1,0,0,0,0,yes,585,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,b60d7c45-1c81-4fe4-999d-d70473b85043
2019-03-20,YE,Yemen,YE18,Al Hudaydah,YE1820,Al Khawkhah,Al Khawkhah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,400,400,,,YE24,10,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,150,150,,,no,,,,,,,yes,yes,,120,120,,,yes,yes,,120,120,,,no,,,,,,,YE18,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,65b16130-6e90-473c-a7e6-192127e5f3e5
2019-03-20,YE,Yemen,YE15,Taizz,YE1505,Al  Mukha,Al Mokha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,360,,,yes,yes,,390,390,,,YE24,7,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,,yes,yes,,105,105,,,no,,,,,,,yes,no,5400,8000,119,,,yes,no,4800,4700,98,,,yes,no,240,7300,304,,,YE15,Wholesaler,7,Price_inflation Government_regulations Transportation_issues,1,0,0,0,0,1,1,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,580,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,56f4343c-1ba3-4ea2-bb43-aee292a91f13
2019-03-20,YE,Yemen,YE15,Taizz,YE1505,Al  Mukha,Al Mokha,Urban,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,400,400,,,YE24,7,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,,yes,Credit,0,0,0,0,1,0,0,0,0,,yes,yes,,115,115,,,no,,,,,,,yes,yes,,140,140,,,yes,yes,,100,100,,,yes,yes,,400,400,,,YE24,Wholesaler,30,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,575,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,2bf5d54a-673c-4db8-b6a0-253800d85556
2019-03-20,YE,Yemen,YE15,Taizz,YE1505,Al  Mukha,Al Mokha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,400,400,,,YE24,7,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,115,115,,,no,,,,,,,yes,no,900,1400,124,,,yes,yes,,100,100,,,yes,yes,,350,350,,,YE24,Wholesaler,7,Price_inflation Shortage_of_demand Supply_shortage,1,0,1,0,1,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,580,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,8cd5c1c5-e906-45ac-b7cd-220d0dcdaefb
2019-03-25,YE,Yemen,YE18,Al Hudaydah,YE1806,Al Qanawis,Al Qanwis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,380,380,,,YE18,5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,no,20,200,100,,,yes,yes,,75,75,,,yes,no,110,120,109,,,yes,yes,,700,700,,,YE18,Vendor,2,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2500,5,,5,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,570,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,7426c1c4-d12c-407d-8ae0-6c7369b66d49
2019-03-25,YE,Yemen,YE18,Al Hudaydah,YE1806,Al Qanawis,Al Qanwis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,400,400,,,YE18,6,Insecurity_and_instability Supply_shortage Government_regulations,0,0,0,1,1,1,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,130,,,yes,no,20,150,75,,,yes,yes,,130,130,,,yes,no,110,120,109,,,yes,yes,,700,700,,,YE18,Vendor,3,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,2500,5,,5,no,,,Do_not_know,0,0,0,0,0,0,0,0,1,0,0,yes,580,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,1e9660bf-7f78-46d4-864c-df06214688a4
2019-03-25,YE,Yemen,YE18,Al Hudaydah,YE1806,Al Qanawis,Al Qanwis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,380,380,,,YE18,5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,no,,,,,,,yes,yes,,150,150,,,yes,no,110,120,109,,,yes,yes,,700,700,,,YE18,Vendor,3,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,2500,5,,5,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,570,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,1c9d98d5-a3f9-4e56-8cc3-09294fe17120
2019-03-22,YE,Yemen,YE20,Dhamar,YE2007,Wusab As Safil,Al-ahad,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,20,7500,375,,,yes,no,20,8700,435,,,YE18,10,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,110,110,,,yes,no,5,170,340,,,yes,yes,,110,110,,,yes,yes,,120,120,,,yes,yes,,590,590,,,YE20,Vendor,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,1,Private,Pumping_Station_or_Borehole,no,3500,1,,2,yes,500,1000,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,600,,no,,,,,,,,,,,,,,,,no,no,yes,yes,yes,yes,,29a0ef25-f893-4b55-af45-08998a1076b5
