date,governorate_name,governorate_ID,district_name,district_ID,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,exchange_rate
12/1/2018,Ibb,YE11,Yarim,YE1102,435,450,100,140,150,70,450,2000,520
12/1/2018,Ibb,YE11,Dhi As Sufal,YE1116,400,425,120,140,150,90.90909091,350,3000,515
12/1/2018,Ibb,YE11,Al Mashannah,YE1118,435,475,120,200,150,70,370,2500,495
12/1/2018,Ibb,YE11,Al Dhihar,YE1119,435,447.5,100,200,130,72.72727273,350,2500,495
12/1/2018,Abyan,YE12,Lawdar,YE1204,275,400,100,600,200,150,700,3000,500
12/1/2018,Abyan,YE12,Khanfir,YE1211,325,350,130,100,145,80,525,NA,530
12/1/2018,Amanat Al Asimah,YE13,Old City,YE1301,NA,NA,120,120,130,90,500,NA,465
12/1/2018,Amanat Al Asimah,YE13,Shuaub,YE1302,395,500,100,80,120,100,575,1333,490
12/1/2018,Amanat Al Asimah,YE13,Azzal,YE1303,395,500,100,90,100,100,500,1333,490
12/1/2018,Amanat Al Asimah,YE13,Assafiyah,YE1304,395,NA,105,100,120,90,500,900,NA
12/1/2018,Amanat Al Asimah,YE13,As Sabain,YE1305,395,445,100,100,120,120,470,1154,510
12/1/2018,Amanat Al Asimah,YE13,Al Wahdah,YE1306,395,445,150,305,210,155,750,450,505
12/1/2018,Amanat Al Asimah,YE13,At Tahrir,YE1307,400,420,120,150,130,130,650,2000,510
12/1/2018,Amanat Al Asimah,YE13,Aththaorah,YE1309,395,445,100,300,150,100,550,1800,500
12/1/2018,Amanat Al Asimah,YE13,Bani Al Harith,YE1310,435,450,110,70,150,110,500,1050,480
12/1/2018,Al Bayda,YE14,Rada,YE1413,400,410,225,300,145,150,545,2000,509
12/1/2018,Taizz,YE15,Dhubab,YE1506,380,390,120,130,140,100,600,2500,530
12/1/2018,Taizz,YE15,Mawza,YE1507,380,390,130,160,140,100,600,2500,530
12/1/2018,Taizz,YE15,Mashraa Wa Hadnan,YE1509,400,400,120,100,111.1111111,81.81818182,500,966.5,490
12/1/2018,Taizz,YE15,As Silw,YE1513,NA,NA,NA,100,150,90.90909091,500,2153,500
12/1/2018,Taizz,YE15,Ash Shamayatayn,YE1514,400,400,120,NA,140,100,575,4000,525
12/1/2018,Taizz,YE15,Al Waziiyah,YE1515,375,350,100,100,93,90.90909091,550,3000,520
12/1/2018,Taizz,YE15,Salh,YE1519,400,400,125,140,125,95,550,2500,520
12/1/2018,Taizz,YE15,Al Maafer,YE1521,350,340,120,150,120,90.90909091,500,2000,490
12/1/2018,Taizz,YE15,Al Mawasit,YE1522,365,350,120,100,150,109.0909091,550,2000,490
12/1/2018,Al Jawf,YE16,Bart Al Anan,YE1610,435,475,100,300,105,105,800,1600,495
12/1/2018,Hajjah,YE17,Abs,YE1704,420,450,120,50,180,90,400,1500,510
12/1/2018,Hajjah,YE17,Aslem,YE1712,425,600,130,70,180,90,400,1200,490
12/1/2018,Hajjah,YE17,Qafl Shamer,YE1713,440,445,120,110,150,90,700,2700,470
12/1/2018,Hajjah,YE17,Al Mahabishah,YE1715,450,445,150,120,100,100,700,2900,470
12/1/2018,Hajjah,YE17,Kuaydinah,YE1722,440,475,120,100,125,109.0909091,575,2625,500
12/1/2018,Hajjah,YE17,Bani Qais,YE1724,435,475,120,237.5,120,181.8181818,NA,1500,505
12/1/2018,Hajjah,YE17,Najrah,YE1726,435,480,120,NA,130,181.8181818,700,1500,505
12/1/2018,Al Hudaydah,YE18,Az Zuhrah,YE1801,425,600,130,70,180,90,400,1500,490
12/1/2018,Al Hudaydah,YE18,Alluheyah,YE1802,430,430,150,100,130,120,500,2000,500
12/1/2018,Al Hudaydah,YE18,Al Qanawis,YE1806,445,430,150,100,150,140,500,2000,500
12/1/2018,Al Hudaydah,YE18,Az Zaydiyah,YE1807,435,475,150,125,130,100,400,1500,525
12/1/2018,Al Hudaydah,YE18,Bajil,YE1810,435,475,150,67.5,130,122.7272728,500,500,525
12/1/2018,Al Hudaydah,YE18,Al Khawkhah,YE1820,360,360,150,80,120,120,406.25,2000,500
12/1/2018,Al Hudaydah,YE18,Zabid,YE1824,417.5,410,120,120,120,109.0909091,350,6000,490
12/1/2018,Dhamar,YE20,Wusab As Safil,YE2007,439.95,485,120,400,110,130,650,4500,520
12/1/2018,Dhamar,YE20,Dhamar City,YE2008,395,445,100,500,120,100,490,1500,500
12/1/2018,Sa'ada,YE22,Monabbih,YE2203,500,550,150,NA,170,200,600,3000,500
12/1/2018,Sa'ada,YE22,Ghamr,YE2204,600,570,150,NA,150,140,700,2000,500
12/1/2018,Sa'ada,YE22,Razih,YE2205,500,500,100,NA,150,150,650,1200,500
12/1/2018,Sa'ada,YE22,Saqayn,YE2209,510,550,170,55,160,120,565,1350,490
12/1/2018,Sa'ada,YE22,Sahar,YE2211,435,502.5,130,80,95,90,NA,2000,505
12/1/2018,Sa'ada,YE22,Saadah,YE2215,435,530,120,75,100,NA,NA,2000,500
12/1/2018,Sana'a,YE23,Hamdan,YE2301,415,466,100,50,145,100,500,900,485
12/1/2018,Sana'a,YE23,Arhab,YE2302,395,450,100,60,145,100,500,1500,505
12/1/2018,Sana'a,YE23,Nihm,YE2303,395,475,120,NA,140,120,550,1600,NA
12/1/2018,Sana'a,YE23,Bani Hushaysh,YE2304,417.5,475,100,60,145,105,510,1125,485
12/1/2018,Sana'a,YE23,Sanhan,YE2305,342.5,447.5,122.5,100,130,120,550,1275,512
12/1/2018,Sana'a,YE23,Bani Matar,YE2307,375,450,125,100,120,125,550,1300,507.5
12/1/2018,Sana'a,YE23,Khwlan,YE2312,395,445,100,NA,150,100,570,2000,500
12/1/2018,Sana'a,YE23,Jihanah,YE2316,395,445,100,100,180,130,470,1166,510
12/1/2018,Aden,YE24,Al Buraiqeh,YE2404,282.5,NA,150,150,150,136.3636364,550,1000,480
12/1/2018,Aden,YE24,Khur Maksar,YE2408,285,NA,130,72.5,130,136.3636364,550,5000,480
12/1/2018,Lahj,YE25,Al Milah,YE2508,NA,320,150,NA,120,63.63636364,500,1500,510
12/1/2018,Lahj,YE25,Tuban,YE2515,285,285,120,150,130,102.2727273,650,200,490
12/1/2018,Amran,YE29,Amran,YE2915,435,475,105,250,120,90.90909091,525,1000,505
12/1/2018,Amran,YE29,Iyal Surayh,YE2918,435,475,115,250,120,90.90909091,575,1200,500
12/1/2018,Al Dhale'e,YE30,Qaatabah,YE3003,NA,NA,NA,160,150,90.90909091,500,2000,450
12/1/2018,Al Dhale'e,YE30,Ad Dhalee,YE3006,400,400,NA,100,155,95.45454546,500,2500,475
12/1/2018,Socotra,YE32,Hidaybu,YE3201,200,310,140,NA,145,115,600,1200,510
1/1/2019,Ibb,YE11,Yarim,YE1102,410,410,100,170,130,100,450,2000,563
1/1/2019,Ibb,YE11,Dhi As Sufal,YE1116,340,340,100,100,100,100,400,2500,545
1/1/2019,Ibb,YE11,Al Mashannah,YE1118,390,390,120,200,130,80,450,3000,545
1/1/2019,Ibb,YE11,Al Dhihar,YE1119,400,400,120,200,130,100,500,2300,535
1/1/2019,Abyan,YE12,Khanfir,YE1211,310,310,120,100,120,80,500,NA,555
