"start","end","today","deviceid","date_survey","enumerator_id","select_one_organisation_name","org_name_other","governorate_ID","district_ID","market_name","type_area","fuel_prices","cash_feasibility_fuel","cash_feasibility_fuel/Cash","cash_feasibility_fuel/Mobile_money","cash_feasibility_fuel/Credit_debit_Card","cash_feasibility_fuel/Prepaid_cards","cash_feasibility_fuel/Credit","cash_feasibility_fuel/Vouchers","cash_feasibility_fuel/Bartering","cash_feasibility_fuel/Other","cash_feasibility_fuel/Do_not_know","Other_cash_feasibility_fuel","sell_petrol","quantity_1L_petrol","quantity_other_petrol","price_petrol","calc_price_petrol","sell_diesel","quantity_1L_diesel","quantity_other_diesel","price_diesel","calc_price_diesel","fuel_gov_origin","fuel_restock_days_min","fuel_constraints_multiple","fuel_constraints_multiple/Price_inflation","fuel_constraints_multiple/Liquidity_shortage","fuel_constraints_multiple/Shortage_of_demand","fuel_constraints_multiple/Insecurity_and_instability","fuel_constraints_multiple/Supply_shortage","fuel_constraints_multiple/Government_regulations","fuel_constraints_multiple/Transportation_issues","fuel_constraints_multiple/Other_see_next_question","fuel_constraints_multiple/Do_not_know","fuel_constraints_multiple/No_constraints","fuel_constraints_multiple/Vendor_did_not_answer","wash_prices","cash_feasibility_wash","cash_feasibility_wash/Cash","cash_feasibility_wash/Mobile_money","cash_feasibility_wash/Credit_debit_Card","cash_feasibility_wash/Prepaid_cards","cash_feasibility_wash/Credit","cash_feasibility_wash/Vouchers","cash_feasibility_wash/Bartering","cash_feasibility_wash/Other","cash_feasibility_wash/Do_not_know","Other_cash_feasibility_wash","sell_bottled_water","quantity_0.75L","bottled_quantity_other","price_bottled_water","calc_price_bottled_water","sell_treated_water","quantity_10L","treated_quantity_other","price_treated_water","calc_price_treated_water","sell_soap","quantity_1bar","soap_quantity_other","price_soap","calc_price_soap","sell_laundry_powder","quantity_100g","laundry_quantity_other","price_laundry_powder","calc_price_laundry","sell_sanitary_napkins","quantity_10units","napkins_quantity_other","price_sanitary_napkins","calc_price_sanitary","wash_gov_origin","wash_type_supplier","wash_restock_days_min","wash_constraints_multiple","wash_constraints_multiple/Price_inflation","wash_constraints_multiple/Liquidity_shortage","wash_constraints_multiple/Shortage_of_demand","wash_constraints_multiple/Insecurity_and_instability","wash_constraints_multiple/Supply_shortage","wash_constraints_multiple/Government_regulations","wash_constraints_multiple/Transportation_issues","wash_constraints_multiple/Other_see_next_question","wash_constraints_multiple/Do_not_know","wash_constraints_multiple/No_constraints","wash_constraints_multiple/Vendor_did_not_answer","water_trucking_prices","cash_feasibility_water_trucking","cash_feasibility_water_trucking/Cash","cash_feasibility_water_trucking/Mobile_money","cash_feasibility_water_trucking/Credit_debit_Card","cash_feasibility_water_trucking/Prepaid_cards","cash_feasibility_water_trucking/Credit","cash_feasibility_water_trucking/Vouchers","cash_feasibility_water_trucking/Bartering","cash_feasibility_water_trucking/Other","cash_feasibility_water_trucking/Do_not_know","Other_cash_feasibility_water_trucking","capacity_truck","type_owner","type_water","water_chlorinated","cost_cubic_meter","location_source","distance_travelled","distance_price","additional_cost_5","additional_cost_10","constraints_multiple","constraints_multiple/Price_inflation","constraints_multiple/Liquidity_shortage","constraints_multiple/Shortage_of_demand","constraints_multiple/Insecurity_and_instability","constraints_multiple/Supply_shortage","constraints_multiple/Government_regulations","constraints_multiple/Transportation_issues","constraints_multiple/Other_see_next_question","constraints_multiple/Do_not_know","constraints_multiple/No_constraints","constraints_multiple/Vendor_did_not_answer","exchange_rate","exchange_rate_result","mrk_supply_routes","mrk_supply_issues","mrk_supply_issues/dmg_infra_market","mrk_supply_issues/dmg_infra_sorrounding","mrk_supply_issues/dmg_storage","mrk_supply_issues/move_restriction","mrk_supply_issues/other","mrk_supply_issues/did_not_answer","mrk_supply_issues_other","mrk_dmg_infra","mrk_dmg_infra/road","mrk_dmg_infra/electrical","mrk_dmg_infra/water","mrk_dmg_infra/communication","mrk_dmg_infra/other","mrk_dmg_infra_other","mrk_increse_fuel_50","mrk_increse_fuel_100","mrk_increse_WASH_50","mrk_increse_WASH_100","mrk_increse_water_50","mrk_increse_water_100","further_comments","__version__","_id","_uuid","_submission_time","_validation_status","_index","district_name","governorate_name","country_name","country_ID"
2019-04-27 11:51:51,2019-04-27 11:53:59,"4/27/2019","ee.humanitarianresponse.info:EeFsRTlzl1QjZcp8","4/26/2019","???","SDF",NA,"YE13","YE1303","Abd Al Azeez Al Qabati shop","Urban","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,100,100,"no",NA,NA,NA,NA,"yes","yes",NA,100,100,"yes","yes",NA,100,100,"yes","yes",NA,600,600,"YE13","Wholesaler",10,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",525,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no",NA,"v2ZtbFxdMLUeS6K3smMjSx",54121908,"72c9d1b0-123c-4c5d-acc2-a0cd0ad8c79e",2019-04-27 11:54:03,NA,134,"Az'zal","Amanat Al Asimah","Yemen","YE"
2019-04-27 12:09:41,2019-04-27 12:11:38,"4/27/2019","ee.humanitarianresponse.info:EeFsRTlzl1QjZcp8","4/26/2019","???","SDF",NA,"YE13","YE1303","Al Haj food supplies","Urban","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,100,100,"no",NA,NA,NA,NA,"yes","yes",NA,100,100,"yes","yes",NA,100,100,"yes","yes",NA,600,600,"YE13","Wholesaler",9,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",525,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no",NA,"v2ZtbFxdMLUeS6K3smMjSx",54123750,"c0a7cfb4-53cc-4b53-b4a1-d40c26675a40",2019-04-27 12:11:43,NA,138,"Az'zal","Amanat Al Asimah","Yemen","YE"
2019-04-28 08:06:57,2019-04-28 08:20:01,"4/28/2019","ee.humanitarianresponse.info:EtvEJoFfiqnbid3N","4/21/2019","Najah","SI",NA,"YE15","YE1505","The public street","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,380,380,"yes","yes",NA,380,380,"YE24",2,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","no",15,2100,105,"no",NA,NA,NA,NA,"yes","no",5760,7200,100,"yes","no",4800,4800,100,"yes","no",120,3800,317,"YE24","Wholesaler",3,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",505,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","yes","yes",NA,"v2ZtbFxdMLUeS6K3smMjSx",54166842,"17ee4439-dbc8-447a-b704-16fac7aa6fda",2019-04-28 08:20:03,NA,147,"Al  Mukha","Taizz","Yemen","YE"
2019-05-05 06:14:46,2019-05-05 06:22:02,"5/5/2019","ee.humanitarianresponse.info:WnOLuC21knpIED0l","4/21/2019","Abdulaziz","SCI",NA,"YE18","YE1807","Az-Zaydiyah Central Market","Rural","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,120,120,"yes","yes",NA,125,125,"yes","yes",NA,130,130,"yes","yes",NA,150,150,"yes","yes",NA,320,320,"YE18","Wholesaler",3,"Price_inflation Insecurity_and_instability Supply_shortage",1,0,0,1,1,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",505,"yes","move_restriction",0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","yes","yes",NA,"v2ZtbFxdMLUeS6K3smMjSx",54748665,"0b8467ca-d365-4a5d-94a6-f24477b5d207",2019-05-05 06:21:57,NA,204,"Az Zaydiyah","Al Hudaydah","Yemen","YE"
2019-04-28 07:19:55,2019-04-28 07:35:12,"4/28/2019","ee.humanitarianresponse.info:EtvEJoFfiqnbid3N","4/24/2019","Tahani","SI",NA,"YE18","YE1820","Al Khawkha","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,390,390,"yes","yes",NA,390,390,"YE24",3,"Insecurity_and_instability Other_see_next_question",0,0,0,1,0,0,0,1,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","no",15,2200,110,"no",NA,NA,NA,NA,"yes","no",5760,8000,111,"yes","no",4800,4800,100,"yes","no",240,8000,333,"YE24","Wholesaler",2,"Price_inflation Transportation_issues",1,0,0,0,0,0,1,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,5,"Public","Pumping_Station_or_Borehole","no",2000,3,7,"yes",10000,0,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes",500,"yes","dmg_infra_market",1,0,0,0,0,0,NA,"electrical",0,1,0,0,0,NA,"yes","yes","yes","yes","yes","yes","question 8.8 is calculated by minutes, question 8.9 is the total price water+transmission fees (this is applicable to all questionnaires I send)","v2ZtbFxdMLUeS6K3smMjSx",54164079,"50844b12-e45b-4213-b50d-0457d5abb92c",2019-04-28 07:35:18,NA,143,"Al Khawkhah","Al Hudaydah","Yemen","YE"
2019-04-28 08:26:11,2019-04-28 08:31:51,"4/28/2019","ee.humanitarianresponse.info:EtvEJoFfiqnbid3N","4/21/2019","Najah","SI",NA,"YE15","YE1505","The public street","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,380,380,"yes","yes",NA,390,390,"YE24",2,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","no",15,2000,100,"no",NA,NA,NA,NA,"yes","no",5760,8000,111,"yes","no",4800,4700,98,"yes","no",240,8000,333,"YE24","Wholesaler",2,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",505,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","yes","yes",NA,"v2ZtbFxdMLUeS6K3smMjSx",54167605,"e1524f70-ddf0-45a5-bae3-8339a46ba495",2019-04-28 08:31:54,NA,149,"Al  Mukha","Taizz","Yemen","YE"
2019-04-28 05:59:46,2019-04-28 06:17:05,"4/28/2019","ee.humanitarianresponse.info:EtvEJoFfiqnbid3N","4/24/2019","Tahani","SI",NA,"YE18","YE1820","Al Khawkhah","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,390,390,"yes","yes",NA,390,390,"YE24",4,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","no",15,2150,108,"no",NA,NA,NA,NA,"yes","no",5760,7500,104,"yes","no",4800,4750,99,"yes","yes",NA,340,340,"YE24","Wholesaler",3,"Price_inflation Liquidity_shortage Transportation_issues",1,1,0,0,0,0,1,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",505,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","yes","yes",NA,"v2ZtbFxdMLUeS6K3smMjSx",54160870,"d9c2f92c-3b4a-4e11-ba24-f2d3ddcf14ea",2019-04-28 06:17:08,NA,139,"Al Khawkhah","Al Hudaydah","Yemen","YE"
2019-04-25 19:40:44,2019-04-25 19:48:56,"4/25/2019","ee.humanitarianresponse.info:HkuZP1pEn8XYpNQN","4/24/2019","????","TYF",NA,"YE18","YE1824","old market","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"YE18",3,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,130,130,"no",NA,NA,NA,NA,"yes","yes",NA,120,120,"yes","yes",NA,120,120,"yes","yes",NA,350,350,"YE18","Vendor",14,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",525,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","yes","yes","no","no","Traders of Zubaid city don't import goods in large quantities because the inability of people to buy goods, resulting in stock accumulation","v2ZtbFxdMLUeS6K3smMjSx",53994606,"eb6a9fb7-836c-49c0-b68e-7cb28764ad8b",2019-04-25 19:49:00,NA,90,"Zabid","Al Hudaydah","Yemen","YE"
2019-04-25 19:08:23,2019-04-25 19:40:39,"4/25/2019","ee.humanitarianresponse.info:HkuZP1pEn8XYpNQN","4/24/2019","????","TYF",NA,"YE18","YE1824","central market","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"YE18",3,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes","yes",NA,120,120,"yes","yes",NA,120,120,"yes","yes",NA,350,350,"YE18","Vendor",15,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",525,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","yes","yes","no","no","Traders of Zubaid city don't import goods in large quantities because people are unable to purchase enough goods that allow to inventory consumption","v2ZtbFxdMLUeS6K3smMjSx",53993910,"315bda5d-cdff-4e86-aa9d-2c4fdbf88640",2019-04-25 19:40:43,NA,89,"Zabid","Al Hudaydah","Yemen","YE"
2019-04-25 20:27:39,2019-04-25 20:30:54,"4/25/2019","ee.humanitarianresponse.info:HkuZP1pEn8XYpNQN","4/25/2019","????","TYF",NA,"YE18","YE1824","Al Trebah","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"YE18",3,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,120,120,"no",NA,NA,NA,NA,"yes","yes",NA,110,110,"yes","yes",NA,110,110,"yes","yes",NA,350,350,"YE18","Vendor",7,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",525,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","yes","yes","no","no","Traders of Zubaid city don't import goods because the inability of people to buy, resulting in stock accumulation","v2ZtbFxdMLUeS6K3smMjSx",53997508,"578fe48e-7d36-47e3-9959-ccd563e6e4fc",2019-04-25 20:31:07,NA,97,"Zabid","Al Hudaydah","Yemen","YE"
