"","x"
"cash_feasibility_fuel",0
"cash_feasibility_fuel/Cash",0.993421052631579
"cash_feasibility_fuel/Mobile_money",0.0197368421052632
"cash_feasibility_fuel/Credit_debit_Card",0.0263157894736842
"cash_feasibility_fuel/Prepaid_cards",0
"cash_feasibility_fuel/Credit",0.0131578947368421
"cash_feasibility_fuel/Vouchers",0.00657894736842105
"cash_feasibility_fuel/Bartering",0
"cash_feasibility_fuel/Other",0.00657894736842105
"cash_feasibility_fuel/Do_not_know",0
"Other_cash_feasibility_fuel",0
"cash_feasibility_wash",0
"cash_feasibility_wash/Cash",0.989847715736041
"cash_feasibility_wash/Mobile_money",0.0101522842639594
"cash_feasibility_wash/Credit_debit_Card",0.0355329949238579
"cash_feasibility_wash/Prepaid_cards",0
"cash_feasibility_wash/Credit",0.050761421319797
"cash_feasibility_wash/Vouchers",0.0050761421319797
"cash_feasibility_wash/Bartering",0
"cash_feasibility_wash/Other",0
"cash_feasibility_wash/Do_not_know",0
"Other_cash_feasibility_wash",NA
"cash_feasibility_water_trucking",0
"cash_feasibility_water_trucking/Cash",1
"cash_feasibility_water_trucking/Mobile_money",0.0150375939849624
"cash_feasibility_water_trucking/Credit_debit_Card",0.0075187969924812
"cash_feasibility_water_trucking/Prepaid_cards",0
"cash_feasibility_water_trucking/Credit",0.0225563909774436
"cash_feasibility_water_trucking/Vouchers",0
"cash_feasibility_water_trucking/Bartering",0
"cash_feasibility_water_trucking/Other",0
"cash_feasibility_water_trucking/Do_not_know",0
"Other_cash_feasibility_water_trucking",NA
