"","x"
"cash_feasibility_fuel",0
"cash_feasibility_fuel/Cash",0.989247311827957
"cash_feasibility_fuel/Mobile_money",0.0161290322580645
"cash_feasibility_fuel/Credit_debit_Card",0.032258064516129
"cash_feasibility_fuel/Prepaid_cards",0.010752688172043
"cash_feasibility_fuel/Credit",0.043010752688172
"cash_feasibility_fuel/Vouchers",0.00537634408602151
"cash_feasibility_fuel/Bartering",0
"cash_feasibility_fuel/Other",0
"cash_feasibility_fuel/Do_not_know",0
"Other_cash_feasibility_fuel",NA
"cash_feasibility_wash",0
"cash_feasibility_wash/Cash",0.995260663507109
"cash_feasibility_wash/Mobile_money",0.018957345971564
"cash_feasibility_wash/Credit_debit_Card",0.033175355450237
"cash_feasibility_wash/Prepaid_cards",0.00947867298578199
"cash_feasibility_wash/Credit",0.127962085308057
"cash_feasibility_wash/Vouchers",0.004739336492891
"cash_feasibility_wash/Bartering",0
"cash_feasibility_wash/Other",0.028436018957346
"cash_feasibility_wash/Do_not_know",0.004739336492891
"Other_cash_feasibility_wash",NA
"cash_feasibility_water_trucking",0
"cash_feasibility_water_trucking/Cash",0.987096774193548
"cash_feasibility_water_trucking/Mobile_money",0.0193548387096774
"cash_feasibility_water_trucking/Credit_debit_Card",0.0129032258064516
"cash_feasibility_water_trucking/Prepaid_cards",0
"cash_feasibility_water_trucking/Credit",0.0838709677419355
"cash_feasibility_water_trucking/Vouchers",0
"cash_feasibility_water_trucking/Bartering",0
"cash_feasibility_water_trucking/Other",0
"cash_feasibility_water_trucking/Do_not_know",0
"Other_cash_feasibility_water_trucking",NA
