"","x"
"cash_feasibility_fuel",0
"cash_feasibility_fuel/Cash",1
"cash_feasibility_fuel/Mobile_money",0.00432900432900433
"cash_feasibility_fuel/Credit_debit_Card",0.00432900432900433
"cash_feasibility_fuel/Prepaid_cards",0.00432900432900433
"cash_feasibility_fuel/Credit",0.0476190476190476
"cash_feasibility_fuel/Vouchers",0
"cash_feasibility_fuel/Bartering",0
"cash_feasibility_fuel/Other",0
"cash_feasibility_fuel/Do_not_know",0
"Other_cash_feasibility_fuel",NA
"cash_feasibility_wash",0
"cash_feasibility_wash/Cash",1
"cash_feasibility_wash/Mobile_money",0.0178571428571429
"cash_feasibility_wash/Credit_debit_Card",0
"cash_feasibility_wash/Prepaid_cards",0
"cash_feasibility_wash/Credit",0.178571428571429
"cash_feasibility_wash/Vouchers",0
"cash_feasibility_wash/Bartering",0.0107142857142857
"cash_feasibility_wash/Other",0
"cash_feasibility_wash/Do_not_know",0
"Other_cash_feasibility_wash",NA
"cash_feasibility_water_trucking",0
"cash_feasibility_water_trucking/Cash",0.99468085106383
"cash_feasibility_water_trucking/Mobile_money",0.0159574468085106
"cash_feasibility_water_trucking/Credit_debit_Card",0
"cash_feasibility_water_trucking/Prepaid_cards",0.00531914893617021
"cash_feasibility_water_trucking/Credit",0.111702127659574
"cash_feasibility_water_trucking/Vouchers",0
"cash_feasibility_water_trucking/Bartering",0
"cash_feasibility_water_trucking/Other",0
"cash_feasibility_water_trucking/Do_not_know",0
"Other_cash_feasibility_water_trucking",NA
