"","x"
"AllConstraints",0
"challengeprice_inflation",0.831541218637993
"challengeliquidityshortage",0.261648745519713
"challengeshortagedemand",0.290322580645161
"challengeinsecurityinstability",0.207885304659498
"challengesupplyshortage",0.236559139784946
"challengegovernmentregulations",0.0896057347670251
"challengetransportationissues",0.318996415770609
"challengeother",0.0860215053763441
"challengedonotknow",0.00716845878136201
"challengenoconstraints",0.0645161290322581
"challengevendordidnotanswer",0.028673835125448
