"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE1102","Yemen","YE","YE11","Ibb","Yarim",365,430,120,100,150,80,500,1200,1575,1600,1000,3780,7955
"YE1109","Yemen","YE","YE11","Ibb","Hazm Al Udayn",365,430,130,100,150,130,700,NA,1575,2600,1400,7875,13450
"YE1116","Yemen","YE","YE11","Ibb","Dhi As Sufal",365,430,130,500,120,90.90909091,450,3000,1260,1818.1818182,900,9450,13428.1818182
"YE1117","Yemen","YE","YE11","Ibb","Mudhaykhirah",400,450,100,500,100,72.72727273,460,NA,1050,1454.5454546,920,7875,11299.5454546
"YE1118","Yemen","YE","YE11","Ibb","Al Mashannah",365,430,100,400,100,72.72727273,400,3000,1050,1454.5454546,800,9450,12754.5454546
"YE1119","Yemen","YE","YE11","Ibb","Al Dhihar",365,430,120,500,130,110,500,2000,1365,2200,1000,6300,10865
"YE1205","Yemen","YE","YE12","Abyan","Sibah",340,375,120,100,204,80,550,2000,2142,1600,1100,6300,11142
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",365,430,100,85,100,100,525,1166,1050,2000,1050,3672.9,7772.9
"YE1304","Yemen","YE","YE13","Amanat Al Asimah","Assafi'yah",365,430,100,65,100,100,575,1166,1050,2000,1150,3672.9,7872.9
"YE1305","Yemen","YE","YE13","Amanat Al Asimah","As Sabain",365,420,130,100,150,100,500,1500,1575,2000,1000,4725,9300
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",365,430,100,47.5,100,100,525,1500,1050,2000,1050,4725,8825
"YE1308","Yemen","YE","YE13","Amanat Al Asimah","Ma'ain",355,440,115,100,150,125,650,1125,1575,2500,1300,3543.75,8918.75
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",365,430,100,300,140,100,450,1700,1470,2000,900,5355,9725
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",365,430,100,65,150,100,500,1050,1575,2000,1000,3307.5,7882.5
"YE1413","Yemen","YE","YE14","Al Bayda","Rada'",390,450,150,120,170,180,600,5000,1785,3600,1200,15750,22335
"YE1505","Yemen","YE","YE15","Taizz","Al  Mukha",370,400,115,NA,124,100,350,NA,1302,2000,700,4725,8727
"YE1508","Yemen","YE","YE15","Taizz","Jabal Habashy",375,400,90,150,110,75,500,2083,1155,1500,1000,6561.45,10216.45
"YE1512","Yemen","YE","YE15","Taizz","Dimnat Khadir",375,440,130,100,155,104.5,500,2000,1627.5,2090,1000,6300,11017.5
