"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","exchange_rate_result"
"YE1302","Yemen","YE","YE13","Amanat Al Asimah","Shu'aub",365,430,100,85,110,100,600,1333,525
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",365,430,100,80,100,100,575,1333,525
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",365,430,100,80,100,100,550,1500,525
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",365,430,100,300,150,100,480,1800,520
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",NA,430,100,70,150,110,500,1150,505
"YE1413","Yemen","YE","YE14","Al Bayda","Rada'",750,700,120,100,130,150,630,4500,510
"YE1505","Yemen","YE","YE15","Taizz","Al  Mukha",380,380,102.5,120,115.5,100,356.5,NA,505
"YE1508","Yemen","YE","YE15","Taizz","Jabal Habashy",400,395,130,100,150,73,469,1683,511
"YE1512","Yemen","YE","YE15","Taizz","Dimnat Khadir",425,430,125,100,186,120,550,2000,514.5
"YE1513","Yemen","YE","YE15","Taizz","As Silw",500,500,150,NA,180,150,700,NA,550
"YE1514","Yemen","YE","YE15","Taizz","Ash Shamayatayn",390,390,100,100,105,67,437.5,3500,510
"YE1520","Yemen","YE","YE15","Taizz","At Ta'iziyah",425,430,130,100,170,130,550,2000,517
"YE1521","Yemen","YE","YE15","Taizz","Al Ma'afer",400,400,120,100,130,100,550,2000,NA
"YE1522","Yemen","YE","YE15","Taizz","Al Mawasit",425,415,120,100,120,110,500,1600,NA
"YE1713","Yemen","YE","YE17","Hajjah","Qafl Shamer",650,440,100,125,130,86,550,3000,510
"YE1715","Yemen","YE","YE17","Hajjah","Al Mahabishah",750,440,120,175,150,100,600,7000,510
"YE1722","Yemen","YE","YE17","Hajjah","Ku'aydinah",NA,NA,120,120,117.5,130,525,3250,490
"YE1724","Yemen","YE","YE17","Hajjah","Bani Qa'is",NA,NA,125,NA,150,120,500,3000,505
"YE1726","Yemen","YE","YE17","Hajjah","Najrah",365,NA,120,NA,147.5,100,500,NA,505
"YE1802","Yemen","YE","YE18","Al Hudaydah","Alluheyah",660,660,120,150,150,100,550,4000,510
"YE1806","Yemen","YE","YE18","Al Hudaydah","Al Qanawis",430,430,120,150,140,100,550,2500,510
"YE1807","Yemen","YE","YE18","Al Hudaydah","Az Zaydiyah",NA,NA,130,120,130,150,350,1250,500
"YE1810","Yemen","YE","YE18","Al Hudaydah","Bajil",NA,NA,120,60,100,80,350,850,515
"YE1817","Yemen","YE","YE18","Al Hudaydah","Bayt Al Faqiah",NA,NA,140,100,120,75,350,1750,518
"YE1820","Yemen","YE","YE18","Al Hudaydah","Al Khawkhah",390,390,110,100,111,100,340,2000,500
"YE1824","Yemen","YE","YE18","Al Hudaydah","Zabid",NA,NA,150,NA,140,140,380,NA,525
"YE2007","Yemen","YE","YE20","Dhamar","Wusab As Safil",875,938,140,400,120,140,750,3500,525
"YE2113","Yemen","YE","YE21","Shabwah","Ataq",360,365,100,100,100,120,500,960,510
"YE2114","Yemen","YE","YE21","Shabwah","Habban",350,350,100,100,140,120,500,3000,510
"YE2203","Yemen","YE","YE22","Sa'ada","Monabbih",400,400,150,NA,170,150,700,500,510
"YE2204","Yemen","YE","YE22","Sa'ada","Ghamr",490,400,200,NA,100,190,700,1200,515
"YE2205","Yemen","YE","YE22","Sa'ada","Razih",480,400,100,NA,150,180,750,1000,515
"YE2209","Yemen","YE","YE22","Sa'ada","Saqayn",650,600,140,100,100,150,570,3500,520
"YE2301","Yemen","YE","YE23","Sana'a","Hamdan",365,430,100,60,150,100,500,950,520
"YE2302","Yemen","YE","YE23","Sana'a","Arhab",365,430,100,70,150,100,500,1400,527.5
"YE2303","Yemen","YE","YE23","Sana'a","Nihm",NA,450,100,NA,150,110,500,1500,NA
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",365,430,100,70,150,100,500,1125,520
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",850,750,120,100,120,150,600,4500,520
"YE2307","Yemen","YE","YE23","Sana'a","Bani Matar",700,600,130,100,100,150,580,4200,550
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",365,430,100,NA,150,100,500,2000,525
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",315,365,150,175,150,100,600,3250,500
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",315,NA,125,100,120,75,425,5000,520
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",NA,350,150,NA,150,150,500,1500,509
"YE2515","Yemen","YE","YE25","Lahj","Tuban",315,370,150,130,95,100,550,500,512.5
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",365,430,110,450,150,109,833,1200,523
"YE2915","Yemen","YE","YE29","Amran","Amran",365,430,110,300,150,91,791.5,900,523
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",235,235,130,NA,150,130,650,800,500
