"governorate_ID","country_name","country_ID","governorate_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE11","Yemen","YE","Ibb",365,430,120,450,125,85.454545455,480,2500,1312.5,1709.0909091,960,7875,11856.5909091
"YE12","Yemen","YE","Abyan",340,375,120,100,204,80,550,2000,2142,1600,1100,6300,11142
"YE13","Yemen","YE","Amanat Al Asimah",365,430,100,85,140,100,525,1166,1470,2000,1050,3672.9,8192.9
"YE14","Yemen","YE","Al Bayda",390,450,150,120,170,180,600,5000,1785,3600,1200,15750,22335
"YE15","Yemen","YE","Taizz",375,412.5,107.5,100,150,109,500,1500,1575,2180,1000,4725,9480
"YE16","Yemen","YE","Al Jawf",375,435,110,310,100,100,850,900,1050,2000,1700,2835,7585
"YE17","Yemen","YE","Hajjah",375,430,120,128.75,129,104.5,600,3000,1354.5,2090,1200,9450,14094.5
"YE18","Yemen","YE","Al Hudaydah",375,405,120,78.75,128,100,384,2000,1344,2000,768,6300,10412
"YE20","Yemen","YE","Dhamar",370,430,105,360,125,110,510,2600,1312.5,2200,1020,8190,12722.5
"YE21","Yemen","YE","Shabwah",320,363.75,100,150,135,124,575,2631.5,1417.5,2480,1150,8289.225,13336.725
"YE22","Yemen","YE","Sa'ada",375,430,120,200,150,140,680,1000,1575,2800,1360,3150,8885
"YE23","Yemen","YE","Sana'a",365,440,100,70,150,100,500,1375,1575,2000,1000,4331.25,8906.25
"YE24","Yemen","YE","Aden",290,355,137.5,85,135,143,512.5,3000,1417.5,2860,1025,9450,14752.5
"YE25","Yemen","YE","Lahj",312.5,375,150,100,150,104.5,550,1500,1575,2090,1100,4725,9490
"YE29","Yemen","YE","Amran",365,430,120,275,150,104.5,729,950,1575,2090,1458,2992.5,8115.5
"YE30","Yemen","YE","Al Dhale'e",327.5,377.5,110,100,210.5,77.5,525,2250,2210.25,1550,1050,7087.5,11897.75
"YE32","Yemen","YE","Socotra",230,230,120,NA,160,140,700,900,1680,2800,1400,2835,8715
