"cost_cubic_meter","distance_travelled","dist_quar_score","price_quar_score","tot_quar_score"
400,15,"High","Low","High Low"
500,15,"High","Low","High Low"
700,10,"Med","Low","Med Low"
733,4,"Low","Low","Low Low"
800,20,"High","Low","High Low"
900,8.5,"Med","Low","Med Low"
930,32,"High","Low","High Low"
960,25,"High","Low","High Low"
1000,14.4166666666667,"Med","Low","Med Low"
1100,10,"Med","Low","Med Low"
1200,15,"High","Med","High Med"
1250,12.8,"Med","Med","Med Med"
1285,4,"Low","Med","Low Med"
1300,14.1666666666667,"Med","Med","Med Med"
1333,4,"Low","Med","Low Med"
1400,4,"Low","Med","Low Med"
1500,7.41666666666667,"Med","Med","Med Med"
1600,15,"High","Med","High Med"
1666,20,"High","Med","High Med"
1700,11,"Med","Med","Med Med"
1750,5,"Low","Med","Low Med"
1800,2,"Low","Med","Low Med"
2000,9.33333333333333,"Med","Med","Med Med"
2300,9,"Med","Med","Med Med"
2500,12.5,"Med","Med","Med Med"
2870,40,"High","Med","High Med"
3000,10.1538461538462,"Med","Med","Med Med"
3200,5,"Low","Med","Low Med"
3500,9.5,"Med","Med","Med Med"
3600,7,"Med","High","Med High"
3800,7,"Med","High","Med High"
4000,8,"Med","High","Med High"
4200,7,"Med","High","Med High"
4500,6.6,"Low","High","Low High"
5000,12.3333333333333,"Med","High","Med High"
6000,21,"High","High","High High"
6500,20,"High","High","High High"
7000,25,"High","High","High High"
7500,30,"High","High","High High"
