"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","price_petrol_normalised","price_diesel_normalised","price_bottled_water_normalised","price_treated_water_normalised","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE1102","Yemen","YE","YE11","Ibb","Yarim",325,375,130,200,130,120,550,1500,1365,2400,1100,4725,9590
"YE1116","Yemen","YE","YE11","Ibb","Dhi As Sufal",325,350,130,150,130,120,500,4000,1365,2400,1000,12600,17365
"YE1118","Yemen","YE","YE11","Ibb","Al Mashannah",325,375,130,200,140,120,600,3000,1470,2400,1200,9450,14520
"YE1119","Yemen","YE","YE11","Ibb","Al Dhihar",325,375,130,200,140,120,550,3000,1470,2400,1100,9450,14420
"YE1301","Yemen","YE","YE13","Amanat Al Asimah","Old City",325,375,100,150,100,150,500,2000,1050,3000,1000,6300,11350
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",325,375,80,115,120,90,500,1975,1260,1800,1000,6221.25,10281.25
"YE1304","Yemen","YE","YE13","Amanat Al Asimah","Assafi'yah",325,375,100,80,120,100,600,1333,1260,2000,1200,4198.95,8658.95
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",325,375,100,80,89.6,100,500,1500,940.8,2000,1000,4725,8665.8
"YE1308","Yemen","YE","YE13","Amanat Al Asimah","Ma'ain",325,375,85,120,108,85,475,1800,1134,1700,950,5670,9454
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",325,375,100,400,130,100,450,1500,1365,2000,900,4725,8990
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",325,420,100,60,145,100,490,1150,1522.5,2000,980,3622.5,8125
"YE1502","Yemen","YE","YE15","Taizz","Shara'b As Salam",325,340,125,80,120,100,515,2850,1260,2000,1030,8977.5,13267.5
"YE1514","Yemen","YE","YE15","Taizz","Ash Shamayatayn",372.5,385,140,180,135,125,585,NA,1417.5,2500,1170,NA,NA
