"district_ID","distance_travelled","cost_cubic_meter"
"YE1302",4,1155.33333333333
"YE1303",4,1372.66666666667
"YE1306",4,1500
"YE1309",2,2166.66666666667
"YE1310",9.33333333333333,1116.66666666667
"YE1413",6,4666.66666666667
"YE1508",25,1871.5
"YE1512",12.2,2700
"YE1514",20,3500
"YE1520",12.0666666666667,2813.33333333333
"YE1521",10,2000
"YE1522",15,1600
"YE1713",16,3000
"YE1715",25,7000
"YE1722",17.5,3250
"YE1724",10,3000
"YE1802",10,4000
"YE1806",11.6666666666667,2666.66666666667
"YE1807",20,1250
"YE1810",6,850
"YE1817",5,1750
"YE1820",8.5,2000
"YE2007",5.22222222222222,3411.11111111111
"YE2113",28,1063.33333333333
"YE2114",8.5,3000
"YE2203",18.3333333333333,566.666666666667
"YE2204",18.3333333333333,1166.66666666667
"YE2205",36.6666666666667,1066.66666666667
"YE2209",7.33333333333333,3533.33333333333
"YE2301",9,950
"YE2302",10,1400
"YE2303",10,1500
"YE2304",9,1125
"YE2305",6.66666666666667,4333.33333333333
"YE2307",7.66666666666667,4166.66666666667
"YE2312",2,1833.33333333333
"YE2404",10,3250
"YE2408",10,5000
"YE2508",12,1500
"YE2515",12.5,500
"YE2912",10,1200
"YE2915",10,900
"YE3201",20,800
