"governorate_ID","governorate_name","district_ID","district_name","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total","index"
"YE11","Ibb","YE1102","Yarim",130,100,450,2000,1365,2000,900,6300,10565,1
"YE11","Ibb","YE1116","Dhi As Sufal",100,100,400,2500,1050,2000,800,7875,11725,1
"YE11","Ibb","YE1118","Al Mashannah",130,80,450,3000,1365,1600,900,9450,13315,1
"YE11","Ibb","YE1119","Al Dhihar",130,100,500,2300,1365,2000,1000,7245,11610,1
"YE12","Abyan","YE1211","Khanfir",120,80,500,NA,1260,1600,1000,NA,NA,1
"YE13","Amanat Al Asimah","YE1301","Old City",84.16,105,600,NA,883.68,2100,1200,3753.225,7936.905,1
"YE13","Amanat Al Asimah","YE1302","Shu'aub",76.8,100,575,1333,806.4,2000,1150,4198.95,8155.35,1
"YE13","Amanat Al Asimah","YE1303","Az'zal",89.6,90,550,1800,940.8,1800,1100,5670,9510.8,1
"YE13","Amanat Al Asimah","YE1304","Assafi'yah",76.8,100,550,1333,806.4,2000,1100,4198.95,8105.35,1
"YE13","Amanat Al Asimah","YE1306","Al Wahdah",132.7058824,90,700,794,1393.4117652,1800,1400,2501.1,7094.5117652,1
"YE13","Amanat Al Asimah","YE1307","At Tahrir",188.2352941,120,750,363.5,1976.47058805,2400,1500,1145.025,7021.49558805,1
"YE13","Amanat Al Asimah","YE1308","Ma'ain",92.8,120,550,500,974.4,2400,1100,1575,6049.4,1
"YE13","Amanat Al Asimah","YE1309","Ath'thaorah",160,100,450,1800,1680,2000,900,5670,10250,1
"YE13","Amanat Al Asimah","YE1310","Bani Al Harith",160,100,500,1050,1680,2000,1000,3307.5,7987.5,1
"YE15","Taizz","YE1502","Shara'b As Salam",110,104.5454546,450,5000,1155,2090.909092,900,15750,19895.909092,1
"YE15","Taizz","YE1506","Dhubab",112,100,600,2500,1176,2000,1200,7875,12251,1
"YE15","Taizz","YE1509","Mashra'a Wa Hadnan",102.7450981,100,500,4500,1078.82353005,2000,1000,14175,18253.82353005,1
"YE15","Taizz","YE1513","As Silw",170.6666667,80,400,2675,1792.00000035,1600,800,8426.25,12618.25000035,1
"YE15","Taizz","YE1514","Ash Shamayatayn",120,130,700,NA,1260,2600,1400,9450,14710,1
"YE15","Taizz","YE1515","Al Wazi'iyah",105.3333334,134.5454546,512.5,3000,1106.0000007,2690.909092,1025,9450,14271.9090927,1
"YE15","Taizz","YE1518","Al Qahirah",80,80,620,6500,840,1600,1240,20475,24155,1
"YE15","Taizz","YE1519","Salh",80,100,600,6500,840,2000,1200,20475,24515,1
"YE15","Taizz","YE1521","Al Ma'afer",171.4285714,90.90909091,700,1100,1799.9999997,1818.1818182,1400,3465,8483.1818179,1
"YE15","Taizz","YE1522","Al Mawasit",154.2857143,90.90909091,625,3000,1620.00000015,1818.1818182,1250,9450,14138.18181835,1
