"district_ID","governorate_ID","governorate_name","district_name","price_diesel_normalised","price_diesel_normalised_1","price_bottled_water_normalised","price_treated_water_normalised","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","exchange_rate_result"
"YE1102","YE11","Ibb","Yarim",410,410,100,170,130,100,450,2000,563
"YE1116","YE11","Ibb","Dhi As Sufal",340,340,100,100,100,100,400,2500,545
"YE1118","YE11","Ibb","Al Mashannah",390,390,120,200,130,80,450,3000,545
"YE1119","YE11","Ibb","Al Dhihar",400,400,120,200,130,100,500,2300,535
"YE1211","YE12","Abyan","Khanfir",310,310,120,100,120,80,500,NA,555
"YE1301","YE13","Amanat Al Asimah","Old City",426,426,100,120,84.16,105,600,NA,NA
"YE1302","YE13","Amanat Al Asimah","Shu'aub",425,425,100,95,76.8,100,575,1333,545
"YE1303","YE13","Amanat Al Asimah","Az'zal",430,430,100,120,89.6,90,550,1800,NA
"YE1304","YE13","Amanat Al Asimah","Assafi'yah",425,425,100,95,76.8,100,550,1333,545
"YE1306","YE13","Amanat Al Asimah","Al Wahdah",410,410,100,450,132.70588235,90,700,794,560
"YE1307","YE13","Amanat Al Asimah","At Tahrir",410,410,100,460,188.2352941,120,750,363.5,550
"YE1308","YE13","Amanat Al Asimah","Ma'ain",430,430,100,150,92.8,120,550,500,540
"YE1309","YE13","Amanat Al Asimah","Ath'thaorah",410,410,100,250,160,100,450,1800,550
"YE1310","YE13","Amanat Al Asimah","Bani Al Harith",410,410,100,70,160,100,500,1050,542
"YE1502","YE15","Taizz","Shara'b As Salam",340,340,130,100,110,104.54545455,450,5000,550
"YE1506","YE15","Taizz","Dhubab",350,350,120,150,112,100,600,2500,560
"YE1509","YE15","Taizz","Mashra'a Wa Hadnan",325,325,150,110,102.74509805,100,500,4500,543.5
"YE1513","YE15","Taizz","As Silw",340,340,120,100,170.66666665,80,400,2675,550
"YE1514","YE15","Taizz","Ash Shamayatayn",475,475,135,170,120,130,700,NA,580
