"date_survey","governorate_ID","governorate_name","district_ID","district_name","market_name","type_area","fuel_prices","cash_feasibility_fuel","cash_feasibility_fuel/Cash","cash_feasibility_fuel/Mobile_money","cash_feasibility_fuel/Credit_debit_Card","cash_feasibility_fuel/Prepaid_cards","cash_feasibility_fuel/Credit","cash_feasibility_fuel/Vouchers","cash_feasibility_fuel/Bartering","cash_feasibility_fuel/Other","cash_feasibility_fuel/Do_not_know","Other_cash_feasibility_fuel","sell_petrol","quantity_1L_petrol","quantity_other_petrol","price_petrol","calc_price_petrol","price_diesel_normalised","sell_diesel","quantity_1L_diesel","diesel_quantity_other","price_diesel","calc_price_diesel","price_diesel_normalised_1","fuel_gov_origin","fuel_restock_days_min","fuel_constraints_multiple","fuel_constraints_multiple/Price_inflation","fuel_constraints_multiple/Liquidity_shortage","fuel_constraints_multiple/Shortage_of_demand","fuel_constraints_multiple/Insecurity_and_instability","fuel_constraints_multiple/Supply_shortage","fuel_constraints_multiple/Government_regulations","fuel_constraints_multiple/Transportation_issues","fuel_constraints_multiple/Other_see_next_question","fuel_constraints_multiple/Do_not_know","fuel_constraints_multiple/No_constraints","fuel_constraints_multiple/Vendor_did_not_answer","wash_list","wash_prices","cash_feasibility_wash","cash_feasibility_wash/Cash","cash_feasibility_wash/Mobile_money","cash_feasibility_wash/Credit_debit_Card","cash_feasibility_wash/Prepaid_cards","cash_feasibility_wash/Credit","cash_feasibility_wash/Vouchers","cash_feasibility_wash/Bartering","cash_feasibility_wash/Other","cash_feasibility_wash/Do_not_know","Other_cash_feasibility_wash","sell_bottled_water","quantity_0.75L","bottled_quantity_other","price_bottled_water","calc_price_bottled_water","price_bottled_water_normalised","sell_treated_water","quantity_10L","treated_quantity_other","price_treated_water","calc_price_treated_water","price_treated_water_normalised","sell_soap","quantity_1bar","soap_quantity_specify","price_soap","calc_price_soap","price_soap_normalised","sell_laundry_powder","quantity_100g","laundry_quantity_other","price_laundry_powder","calc_price_laundry","price_laundry_powder_normalised","sell_sanitary_napkins","quantity_10units","napkins_quantity_other","price_sanitary_napkins","calc_price_sanitary","price_sanitary_napkins_normalised","wash_gov_origin","wash_type_supplier","wash_restock_days_min","wash_constraints_multiple","wash_constraints_multiple/Price_inflation","wash_constraints_multiple/Liquidity_shortage","wash_constraints_multiple/Shortage_of_demand","wash_constraints_multiple/Insecurity_and_instability","wash_constraints_multiple/Supply_shortage","wash_constraints_multiple/Government_regulations","wash_constraints_multiple/Transportation_issues","wash_constraints_multiple/Other_see_next_question","wash_constraints_multiple/Do_not_know","wash_constraints_multiple/No_constraints","wash_constraints_multiple/Vendor_did_not_answer","water_trucking_prices","cash_feasibility_water_trucking","cash_feasibility_water_trucking/Cash","cash_feasibility_water_trucking/Mobile_money","cash_feasibility_water_trucking/Credit_debit_Card","cash_feasibility_water_trucking/Prepaid_cards","cash_feasibility_water_trucking/Credit","cash_feasibility_water_trucking/Vouchers","cash_feasibility_water_trucking/Bartering","cash_feasibility_water_trucking/Other","cash_feasibility_water_trucking/Do_not_know","Other_cash_feasibility_water_trucking","capacity_truck","type_owner","type_water","water_chlorinated","cost_cubic_meter","location_source","price_cubic_meter","distance_travelled","distance_price","additional_cost_5","additional_cost_10","constraints_multiple","constraints_multiple/Price_inflation","constraints_multiple/Liquidity_shortage","constraints_multiple/Shortage_of_demand","constraints_multiple/Insecurity_and_instability","constraints_multiple/Supply_shortage","constraints_multiple/Government_regulations","constraints_multiple/Transportation_issues","constraints_multiple/Other_see_next_question","constraints_multiple/Do_not_know","constraints_multiple/No_constraints","constraints_multiple/Vendor_did_not_answer","exchange_rate","exchange_rate_result","further_comments","_uuid"
2019-01-20,"YE11","Ibb","YE1119","Al Dhihar","Al-Daeri","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,400,"Yes","Yes",NA,400,NA,400,"YE18",3,"Price Inflation Liquidity Shortage Transportation Issues",1,1,0,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,120,NA,120,"Yes","No",5,100,200,200,"Yes","Yes",80,130,130,130,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,350,NA,350,"YE11","Wholesaler",10,"Price Inflation Insecurity and Instability Transportation Issues",1,0,0,1,0,0,1,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,5,"Do_not_know","Water Spring","No",2300,1,NA,5,"Yes",9000,0,"Price Inflation Transportation Issues",1,0,0,0,0,0,1,0,0,0,0,"Yes",535,NA,"35099ca9-b82e-41cb-ade9-035bbe01545d"
2019-01-21,"YE11","Ibb","YE1102","Yarim","Al-Da'eri-Algharbi","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,410,"Yes","Yes",NA,410,NA,410,"YE18",3,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","No",5,70,140,140,"Yes","Yes",80,130,130,130,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,500,NA,500,"YE11","Wholesaler",10,"Price Inflation Shortage of Demand",1,0,1,0,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,2,"Do_not_know","Pumping Station or Borehole","No",2000,2,NA,10,"Yes",4000,8000,"Price Inflation Liquidity Shortage Shortage of Demand Transportation Issues",1,1,1,0,0,0,1,0,0,0,0,"Yes",580,NA,"22092d40-607f-40c1-afdc-c352b6c818dd"
2019-01-21,"YE11","Ibb","YE1102","Yarim","Al-Daeri-Gawlat Sanad","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,410,"Yes","Yes",NA,410,NA,410,"YE18",4,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","No",5,100,200,200,"Yes","Yes",80,130,130,130,"Yes","Yes",NA,80,NA,80,"Yes","Yes",NA,450,NA,450,"YE11","Wholesaler",10,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,3,"Private","Pumping Station or Borehole","No",2300,1,NA,5,"Yes",5000,0,"Price Inflation Liquidity Shortage Transportation Issues",1,1,0,0,0,0,1,0,0,0,0,"Yes",563,NA,"1085dbdf-2390-48c6-bdc4-2482d6468e1c"
2019-01-21,"YE11","Ibb","YE1102","Yarim","Al-Khashabah","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,410,"Yes","Yes",NA,410,NA,410,"YE30",2,"Price Inflation Insecurity and Instability Transportation Issues",1,0,0,1,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"No",NA,NA,NA,NA,NA,"Yes","Yes",80,120,120,120,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,450,NA,450,"YE11","Wholesaler",8,"Price Inflation Shortage of Demand Insecurity and Instability",1,0,1,1,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,2.5,"Private","Pumping Station or Borehole","Do_not_know",2000,1,NA,5,"Yes",4500,0,"Price Inflation Liquidity Shortage Transportation Issues",1,1,0,0,0,0,1,0,0,0,0,"Yes",560,NA,"1bdda3ea-9c40-46ea-b355-54d29c8eed25"
2019-01-20,"YE11","Ibb","YE1119","Al Dhihar","Al-Sabal","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,345,"No",NA,NA,NA,NA,NA,"YE18",1,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,120,NA,120,"Yes","No",5,100,200,200,"Yes","Yes",80,100,100,100,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,500,NA,500,"YE11","Wholesaler",9,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,5,"Private","Pumping Station or Borehole","No",2300,2,NA,10,"Yes",10000,15000,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,"Yes",535,"The fuel vendor reported that he is waiting for accessing the diesel","97920f1d-c665-4a30-952a-2ce1b08f545b"
2019-01-22,"YE11","Ibb","YE1116","Dhi As Sufal","Al-Sayani","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,330,NA,340,"Yes","Yes",NA,340,NA,340,"YE18",7,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","No",5,50,100,100,"Yes","Yes",80,100,100,100,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,400,NA,400,"YE11","Wholesaler",12,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,"Yes","Cash",1,0,0,0,0,0,0,0,0,NA,5,"Private","Pumping Station or Borehole","No",2500,1,NA,3,"No",NA,NA,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,"Yes",545,NA,"96b263ab-bf83-4c2b-a395-7066ea5f0c04"
2019-01-22,"YE11","Ibb","YE1116","Dhi As Sufal","Al-Sharea Al-A'am","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,330,NA,340,"Yes","Yes",NA,340,NA,340,"YE24",12,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,80,NA,80,"Yes","Yes",80,100,100,100,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,350,NA,350,"YE11","Wholesaler",3,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,6,"Private","Pumping Station or Borehole","No",2500,1,NA,10,"Yes",12000,18000,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,"Yes",525,NA,"df1f8faa-e2e1-480d-8b8f-b9d43973806e"
2019-01-22,"YE11","Ibb","YE1116","Dhi As Sufal","Al-Thalatheen","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,330,NA,340,"Yes","Yes",NA,340,NA,340,"YE18",5,"Price Inflation Liquidity Shortage Shortage of Demand Transportation Issues",1,1,1,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","No",5,70,140,140,"Yes","Yes",80,120,120,120,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,400,NA,400,"YE11","Wholesaler",9,"Price Inflation Shortage of Demand",1,0,1,0,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,6,"Private","Pumping Station or Borehole","Yes",2700,2,NA,5,"Yes",13000,0,"Price Inflation Shortage of Demand Government Regulations Transportation Issues",1,0,1,0,0,1,1,0,0,0,0,"Yes",550,NA,"d49bfc59-3bf7-4a74-9e3b-7c755963a147"
2019-01-23,"YE11","Ibb","YE1118","Al Mashannah","Mafraq Giblah","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,390,"Yes","Yes",NA,390,NA,390,"YE18",5,"Price Inflation Shortage of Demand Insecurity and Instability",1,0,1,1,0,0,0,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","No",5,100,200,200,"Yes","Yes",80,130,130,130,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,400,NA,400,"YE11","Wholesaler",10,"Price Inflation Shortage of Demand Insecurity and Instability",1,0,1,1,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,6,"Private","Pumping Station or Borehole","No",3000,1,NA,5,"Yes",14000,0,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,"Yes",550,NA,"0a01e901-ab9b-42f9-8b9e-e6a6f99bb245"
2019-01-23,"YE11","Ibb","YE1118","Al Mashannah","Mafraq Maitam","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,390,"Yes","Yes",NA,390,NA,390,"YE18",7,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,120,NA,120,"Yes","No",5,100,200,200,"Yes","Yes",80,120,120,120,"Yes","Yes",NA,70,NA,70,"Yes","Yes",NA,500,NA,500,"YE11","Wholesaler",8,"Price Inflation Shortage of Demand Insecurity and Instability",1,0,1,1,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,5,"Private","Pumping Station or Borehole","Do_not_know",2700,2,NA,5,"Yes",12000,0,"Price Inflation Shortage of Demand Transportation Issues",1,0,1,0,0,0,1,0,0,0,0,"Yes",545,NA,"e9919e07-6a32-4a6c-a550-736a6048216b"
