"date","governorate_name","governorate_ID","district_name","district_ID","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","exchange_rate"
2019-01-02,"Ibb","YE11","Yarim","YE1102",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Ibb","YE11","Dhi As Sufal","YE1116",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Ibb","YE11","Al Mashannah","YE1118",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Ibb","YE11","Al Dhihar","YE1119",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Old City","YE1301",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Az'zal","YE1303",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Assafi'yah","YE1304",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Al Wahdah","YE1306",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Ma'ain","YE1308",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Ath'thaorah","YE1309",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Amanat Al Asimah","YE13","Bani Al Harith","YE1310",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Taizz","YE15","Al Mukha","YE1506",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Taizz","YE15","Jabal Habashy","YE1509",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Taizz","YE15","Dimnat Khadir","YE1513",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Taizz","YE15","Ash Shamayatayn","YE1514",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,"Taizz","YE15","Al Wazi'iyah","YE1515",NA,NA,NA,NA,NA,NA,NA,NA,NA
