Index_ID,date_ID,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel.Cash,cash_feasibility_fuel.Mobile_money,cash_feasibility_fuel.Credit_debit_Card,cash_feasibility_fuel.Prepaid_cards,cash_feasibility_fuel.Credit,cash_feasibility_fuel.Vouchers,cash_feasibility_fuel.Bartering,cash_feasibility_fuel.Other,cash_feasibility_fuel.Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple.Price_inflation,fuel_constraints_multiple.Liquidity_shortage,fuel_constraints_multiple.Shortage_of_demand,fuel_constraints_multiple.Insecurity_and_instability,fuel_constraints_multiple.Supply_shortage,fuel_constraints_multiple.Government_regulations,fuel_constraints_multiple.Transportation_issues,fuel_constraints_multiple.Other_see_next_question,fuel_constraints_multiple.Do_not_know,fuel_constraints_multiple.No_constraints,fuel_constraints_multiple.Vendor_did_not_answer,wash_prices,cash_feasibility_wash,cash_feasibility_wash.Cash,cash_feasibility_wash.Mobile_money,cash_feasibility_wash.Credit_debit_Card,cash_feasibility_wash.Prepaid_cards,cash_feasibility_wash.Credit,cash_feasibility_wash.Vouchers,cash_feasibility_wash.Bartering,cash_feasibility_wash.Other,cash_feasibility_wash.Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple.Price_inflation,wash_constraints_multiple.Liquidity_shortage,wash_constraints_multiple.Shortage_of_demand,wash_constraints_multiple.Insecurity_and_instability,wash_constraints_multiple.Supply_shortage,wash_constraints_multiple.Government_regulations,wash_constraints_multiple.Transportation_issues,wash_constraints_multiple.Other_see_next_question,wash_constraints_multiple.Do_not_know,wash_constraints_multiple.No_constraints,wash_constraints_multiple.Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking.Cash,cash_feasibility_water_trucking.Mobile_money,cash_feasibility_water_trucking.Credit_debit_Card,cash_feasibility_water_trucking.Prepaid_cards,cash_feasibility_water_trucking.Credit,cash_feasibility_water_trucking.Vouchers,cash_feasibility_water_trucking.Bartering,cash_feasibility_water_trucking.Other,cash_feasibility_water_trucking.Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple.Price_inflation,constraints_multiple.Liquidity_shortage,constraints_multiple.Shortage_of_demand,constraints_multiple.Insecurity_and_instability,constraints_multiple.Supply_shortage,constraints_multiple.Government_regulations,constraints_multiple.Transportation_issues,constraints_multiple.Other_see_next_question,constraints_multiple.Do_not_know,constraints_multiple.No_constraints,constraints_multiple.Vendor_did_not_answer,exchange_rate,uuid
1,Dec-18,YE11,Ibb,YE1102,Yarim,Al-daeri (Gawlat Sanad),Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,435,NA,435,yes,yes,NA,450,NA,450,YE30,4,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,120,yes,no,5,70,140,140,yes,yes,NA,150,NA,150,yes,yes,NA,100,NA,100,yes,yes,NA,400,NA,400,YE11,Wholesaler,14,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,3,Private,Pumping_Station_or_Borehole,no,2200,1,NA,5,yes,4500,NA,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,520,8977f761-e985-4d8d-974e-e872893b63c9
2,Dec-18,YE11,Ibb,YE1102,Yarim,Al-Daeri Al-Gharbi,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,435,NA,435,yes,yes,NA,450,NA,450,YE18,2,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,100,NA,100,yes,no,5,70,140,140,yes,yes,NA,150,NA,150,yes,yes,NA,70,NA,70,yes,yes,NA,500,NA,500,YE11,Wholesaler,7,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability Transportation_issues,1,1,1,1,0,0,1,0,0,0,0,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,NA,2,Private,Pumping_Station_or_Borehole,no,2000,1,NA,10,yes,3500,7000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,520,31c4f9d3-426e-4700-a37d-0b065884c51f
3,Dec-18,YE11,Ibb,YE1102,Yarim,Al-Khashabah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,435,NA,435,yes,yes,NA,450,NA,450,YE30,3,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,100,NA,100,yes,no,5,50,100,100,yes,yes,NA,150,NA,150,yes,no,110,70,63.63636364,63.63636364,yes,yes,NA,450,NA,450,YE11,NA,10,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,NA,2,Private,Pumping_Station_or_Borehole,no,1700,2,NA,10,yes,4000,6000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,525,3dbf367a-45db-4e65-8472-11196a84529b
4,Dec-18,YE11,Ibb,YE1116,Dhi As Sufal,Al-Da'eri (Al-thalatheen street),Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,400,NA,400,yes,yes,NA,425,NA,425,YE30,4,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,120,yes,yes,NA,150,NA,150,yes,yes,NA,150,NA,150,yes,no,110,100,90.90909091,90.90909091,yes,yes,NA,350,NA,350,YE11,Wholesaler,14,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,no,2500,4,NA,10,yes,12000,15000,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,515,c5d5c744-4e2d-403f-9bca-7d5d7cacdebf
5,Dec-18,YE11,Ibb,YE1116,Dhi As Sufal,Al-Sayani,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,435,NA,435,yes,yes,NA,450,NA,450,YE30,7,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,120,yes,no,5,70,140,140,yes,yes,NA,150,NA,150,yes,no,110,100,90.90909091,90.90909091,yes,yes,NA,400,NA,400,YE11,Wholesaler,10,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,NA,6.5,Private,Pumping_Station_or_Borehole,no,3000,1,NA,10,yes,12000,16000,Price_inflation Government_regulations Other_see_next_question,1,0,0,0,0,1,0,1,0,0,0,515,2a44ac75-7ea1-4679-8434-c35660b3f78e
6,Dec-18,YE11,Ibb,YE1116,Dhi As Sufal,Al-Share'a Al-Am,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,400,NA,400,yes,yes,NA,400,NA,400,YE30,20,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,120,yes,no,5,50,100,100,yes,yes,NA,120,NA,120,yes,no,110,75,68.18181818,68.18181818,yes,yes,NA,330,NA,330,YE24,Wholesaler,30,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,Do_not_know,3000,2,NA,10,yes,12000,17000,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,515,b934408e-3031-41e0-866e-6114013d5600
7,Dec-18,YE11,Ibb,YE1118,Al Mashannah,Mafraq Giblah,Urban,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,120,yes,no,5,100,200,200,yes,yes,NA,150,NA,150,yes,no,110,100,90.90909091,90.90909091,yes,yes,NA,370,NA,370,YE11,Wholesaler,10,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2500,2,NA,5,yes,10000,NA,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,500,a8a3f0d2-21ce-4a6b-9c86-7612ca2192d6
8,Dec-18,YE11,Ibb,YE1118,Al Mashannah,Mafraq Maitam,Urban,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,435,NA,435,yes,yes,NA,475,NA,475,YE18,20,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,100,NA,100,yes,no,5,100,200,200,yes,yes,NA,140,NA,140,yes,yes,NA,70,NA,70,yes,yes,NA,500,NA,500,YE11,Wholesaler,7,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,no,2200,2,NA,5,yes,10000,NA,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,490,e6ebc335-8fe8-424f-9630-1fa0e5684562
9,Dec-18,YE11,Ibb,YE1118,Al Mashannah,Muthalath Al-Muaslat,Urban,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,120,yes,no,5,100,200,200,yes,yes,NA,150,NA,150,yes,no,110,70,63.63636364,63.63636364,yes,yes,NA,350,NA,350,YE11,Wholesaler,6,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,3000,3,NA,5,yes,10000,NA,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,495,ff244ec0-b0f7-441b-8514-e48a01bce00a
10,Dec-18,YE11,Ibb,YE1119,Al Dhihar,Al-Sabal,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,435,NA,435,yes,yes,NA,445,NA,445,YE18,3,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,100,NA,100,yes,no,5,100,200,200,yes,yes,NA,150,NA,150,yes,yes,NA,120,NA,120,yes,yes,NA,350,NA,350,YE11,Wholesaler,8,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,Do_not_know,2500,2,NA,5,yes,9000,NA,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,495,8e74b8a0-a26c-45ea-ab42-32ad909d9020
