governorate_ID,governorate_name,district_ID,district_name,type_area,fuel_prices,type_market,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,type_market_001,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,market_name_water_trucking,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,_uuid
YE11,Ibb,YE1102,Yarim,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,3,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,NA,yes,no,5,100,200,NA,yes,yes,80,130,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,600,NA,NA,YE11,Wholesaler,14,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Taratem,Cash Credit,1,0,0,0,1,0,0,0,0,NA,4,Private,Pumping_Station_or_Borehole,no,2000,2,NA,10,yes,5000,7000,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,740,0ef967b1-e50d-4a94-afd2-90825c6f8d20
YE11,Ibb,YE1102,Yarim,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,7,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,NA,yes,no,5,100,200,NA,yes,yes,80,170,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,400,NA,NA,YE11,Wholesaler,6,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Al-Khashabah,Cash Credit,1,0,0,0,1,0,0,0,0,NA,2.5,Private,Pumping_Station_or_Borehole,Do_not_know,2000,1,NA,10,yes,5000,7000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,735,166374ec-c077-4d2f-add5-e772662cad1a
YE11,Ibb,YE1102,Yarim,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,4,Price_inflation Shortage_of_demand Transportation_issues Other_see_next_question,1,0,1,0,0,0,1,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,80,160,NA,yes,yes,80,150,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,600,NA,NA,YE11,Wholesaler,7,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Gawlat Senan,Cash Credit,1,0,0,0,1,0,0,0,0,NA,2.5,Private,Pumping_Station_or_Borehole,no,2500,2,NA,5,yes,5000,7000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,735,6cf5f105-796a-4d2a-9500-b107a6dba524
YE11,Ibb,YE1116,Dhi As Sufal,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,no,NA,NA,NA,NA,NA,yes,yes,NA,580,NA,NA,YE18,5,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,100,200,NA,yes,yes,80,180,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,400,NA,NA,YE11,Wholesaler,8,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Al-Da'eri,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2000,2,NA,15,yes,12000,15000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,740,71ec0790-0fd8-4f1c-beb4-7fe8ef3e4202
YE11,Ibb,YE1116,Dhi As Sufal,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,6,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,100,200,NA,yes,yes,80,150,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,650,NA,NA,YE11,Wholesaler,5,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Al-Markezi,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2500,3,NA,10,yes,13000,17000,Price_inflation Shortage_of_demand Other_see_next_question,1,0,1,0,0,0,0,1,0,0,0,735,d63684af-b73f-4b81-88bd-3d142be6d2d5
YE11,Ibb,YE1116,Dhi As Sufal,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,625,NA,NA,yes,yes,NA,625,NA,NA,YE30,3,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,120,240,NA,yes,yes,80,170,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,450,NA,NA,YE11,Wholesaler,10,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Al-Sharea'a Al-Am,Cash Credit,1,0,0,0,1,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,no,2500,2,NA,10,yes,11000,15000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,735,03828696-40c2-44f0-9fd2-c2ef60f246f9
YE11,Ibb,YE1118,Al Mashannah,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,5,Price_inflation Insecurity_and_instability Government_regulations,1,0,0,1,0,1,0,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,100,200,NA,yes,yes,75,150,NA,NA,yes,no,110,130,118.1818182,NA,yes,yes,NA,600,NA,NA,YE11,Wholesaler,6,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Al-Sa'elah,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,Do_not_know,2200,2,NA,10,yes,10000,14000,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,735,fac81bbe-8db5-4018-82f1-55c94e3ca926
YE11,Ibb,YE1118,Al Mashannah,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,7,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,170,NA,NA,yes,no,5,100,200,NA,yes,yes,80,150,NA,NA,yes,no,110,130,118.1818182,NA,yes,yes,NA,450,NA,NA,YE11,Wholesaler,8,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Mafraq Maitam,Cash,1,0,0,0,0,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2300,3,NA,10,yes,12000,16000,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,730,a288bb88-63fe-45b6-8560-eee353c5893c
YE11,Ibb,YE1118,Al Mashannah,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,4,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,100,200,NA,yes,yes,80,170,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,600,NA,NA,YE11,Wholesaler,4,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Muthalath Al-Mowaslat,Cash Credit,1,0,0,0,1,0,0,0,0,NA,5.5,Private,Pumping_Station_or_Borehole,no,2500,2,NA,5,no,NA,NA,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,740,08df0b29-8f85-4f14-afda-233b4f5d5706
YE11,Ibb,YE1119,Al Dhihar,Urban,yes,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,7,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,NA,yes,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,170,NA,NA,yes,no,5,100,200,NA,yes,yes,80,150,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,400,NA,NA,YE11,Wholesaler,8,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Al-Malika Arwa street,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2000,1,NA,10,yes,12000,15000,Price_inflation Shortage_of_demand Other_see_next_question,1,0,1,0,0,0,0,1,0,0,0,740,751b12d1-6055-4122-90f3-b7d98036e64c
