row_id,start,end,today,deviceid,date_survey,enumerator_name,enumerator_name_EN,organisation_name,organisation_name_EN,governorate_name_en,governorate_ID,district_name_en,district_ID,market_name,market_name_EN,type_market,type_area,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,price_petrol_normalized,petrol_gov_origin_petrol,petrol_type_supplier,petrol_restock_days_min,petrol_restock_days_max,petrol_restock_days_average,petrol_constraints_multiple,Pet Inflation,Pet Liquidity,Pet Demand,Pet Insecurity,Pet Supply,Pet Govt,Pet Trans,Pet Other,Pet DNK,Pet None,Pet DNA,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,price_diesel_normalized,diesel_gov_origin,diesel_type_supplier,diesel_restock_days_min,diesel_restock_days_max,diesel_restock_days_average,diesel_constraints_multiple,Die Inflation,Die Liquidity,Die Demand,Die Insecurity,Die Supply,Die Govt,Die Trans,Die Other,Die DNK,Die None,Die DNA,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,price_bottled_water_normalized,bottled_gov_origin,bottled_type_supplier,bottled_restock_days_min,bottled_restock_days_max,bottled_restock_days_average,bottled_constraints_multiple,BW Inflation,BW Liquidity,BW Demand,BW Insecurity,BW Supply,BW Govt,BW Trans,BW Other,BW DNK,BW None,BW DNA,sell_treated_water,quantity_20L,treated_quantity_other,price_treated_water,price_treated_water_normalized,treated_gov_origin,treated_type_supplier,treated_restock_days_min,treated_restock_days_max,treated_restock_days_average,treated_constraints_multiple,TW Inflation,TW Liquidity,TW Demand,TW Insecurity,TW Supply,TW Govt,TW Trans,TW Other,TW DNK,TW None,TW DNA,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,price_soap_normalized,soap_gov_origin,soap_type_supplier,soap_restock_days_min,soap_restock_days_max,soap_restock_days_average,soap_constraints_multiple,Soap Inflation,Soap Liquidity,Soap Demand,Soap Insecurity,Soap Supply,Soap Govt,Soap Trans,Soap Other,Soap DNK,Soap None,Soap DNA,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,price_laundry_powder_normalized,laundry_gov_origin,laundry_type_supplier,laundry_restock_days_min,laundry_restock_days_max,laundry_restock_days_average,laundry_constraints_multiple,LP Inflation,LP Liquidity,LP Demand,LP Insecurity,LP Supply,LP Govt,LP Trans,LP Other,LP DNK,LP None,LP DNA,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,price_sanitary_napkins_normalized,napkins_gov_origin,napkins_type_supplier,napkins_restock_days_min,napkins_restock_days_max,napkins_restock_days_average,napkins_constraints_multiple,SN Inflation,SN Liquidity,SN Demand,SN Insecurity,SN Supply,SN Govt,SN Trans,SN Other,SN DNK,SN None,SN DNA,General further_comments,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,distance_price,additional_cost_10,additional_cost_20,additional_cost_30,constraints_multiple,WT Inflation,WT Liquidity,WT Demand,WT Insecurity,WT Supply,WT Govt,WT Trans,WT Other,WT DNK,WT None,WT DNA,further_comments
YE0100,2018-04-26T12:00:08.691+03:00,2018-04-26T12:15:37.458+03:00,2018-04-26,ee.humanitarianresponse.info:01ufehMPk0fm5ajf,2018-04-26,Khaldun Hussin,Khaldun Hussin,Save the Children,Save the Children,Aden,YE24,Khur Maksar,YE2408,Khormaksr Market,Al-Aneed,District_level_market,Urban,yes,yes,,290,290,24,Wholesaler,2,7,4.5,Insecurity_and_instability Supply_shortage Government_regulations,0,0,0,1,1,1,0,0,0,0,0,yes,yes,,290,290,24,Wholesaler,2,7,4.5,Insecurity_and_instability Supply_shortage Government_regulations,0,0,0,1,1,1,0,0,0,0,0,yes,yes,,100,100,24,Wholesaler,2,7,4.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,,250,250,24,Wholesaler,3,4,3.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,70,100,143,24,Wholesaler,2,7,4.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,,100,100,24,Wholesaler,2,7,4.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,,250,250,24,Wholesaler,2,7,4.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,For treated water the main issue the market face is the availability of diesel.,,,,,,,,,,,,,,,,,,,,,,,
YE0101,2018-04-26T12:15:37.716+03:00,2018-04-27T01:06:54.809+03:00,2018-04-26,ee.humanitarianresponse.info:01ufehMPk0fm5ajf,2018-04-26,Khaldun Hussin,Khaldun Hussin,Save the Children,Save the Children,Aden,YE24,Al Buraiqeh,YE2404,Banafea,Al-Da'eri,District_level_market,Urban,yes,yes,,290,290,24,Wholesaler,7,,7,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,315,315,19,Wholesaler,7,,7,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,100,100,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,,250,250,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,70,100,143,29,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,,100,100,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,,400,400,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
YE0128,2018-04-27T01:06:55.015+03:00,2018-04-27T01:25:12.210+03:00,2018-04-27,ee.humanitarianresponse.info:01ufehMPk0fm5ajf,2018-04-26,Mohammed Abdulrahman,Mohammed Abdulrahman,Save the Children,Save the Children,Aden,YE24,Al Buraiqeh,YE2404,Buraiqah Madinah Market,Al-hai Alzerai ,District_level_market,Urban,yes,yes,,290,290,24,Wholesaler,4,,4,Supply_shortage Transportation_issues,0,0,0,0,1,0,1,0,0,0,0,yes,yes,,315,315,19,Wholesaler,7,,7,Supply_shortage Transportation_issues,0,0,0,0,1,0,1,0,0,0,0,yes,yes,,100,100,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,,250,250,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,70,100,143,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,,100,100,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,yes,,400,400,24,Wholesaler,1,,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
YE0011,2018-04-28T16:48:36.706+03:00,2018-04-28T17:20:02.071+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Yusuf,Yusuf,ACTED,ACTED,Al Dhale'e,YE30,Al Hussein,YE3005,Al-Madsen,Al Maraweh,District_level_market,Rural,yes,yes,,325,325,24,Other,25,30,,Supply_shortage Transportation_issues Other_see_next_question,0,0,0,0,1,0,1,1,0,0,0,yes,yes,,315,315,24,Other,25,30,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,100,100,30,Wholesaler,2,3,2.5,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,,200,200,30,Wholesaler,2,3,2.5,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,1,100,100,30,Wholesaler,1,2,1.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,,80,80,30,Wholesaler,1,2,1.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,,600,,30,Wholesaler,2,3,2.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,lack of fuel is one of the main reasons for the shortage . and there are very small shops in this area,,,,,,,,,,,,,,,,,,,,,,,
YE0130,2018-04-28T15:30:53.891+03:00,2018-04-28T16:48:36.515+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Khaled,Khaled,ACTED,ACTED,Al Dhale'e,YE30,Al Hussein,YE3005,ALmadsam,Al Maraweh,District_level_market,Rural,yes,yes,,315,315,24,Do_not_know,20,30,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,300,300,24,Other,30,40,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,100,100,30,Wholesaler,1,3,2,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,200,200,30,Wholesaler,1,3,2,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,1,100,100,30,Wholesaler,2,7,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,80,80,30,Wholesaler,7,7,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,600,,30,Wholesaler,7,7,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,most people go to Aldhalee to buy their errands and Qaid Saleh Fuel station,,,,,,,,,,,,,,,,,,,,,,,
YE0131,2018-04-28T17:20:02.242+03:00,2018-04-28T18:52:37.142+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Khaled,Khaled,ACTED,ACTED,Al Dhale'e,YE30,Al Hussein,YE3005,Alhussein city,Al-Mina Street,District_level_market,Urban,yes,yes,20,2900,,19,Wholesaler,20,30,,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,yes,yes,,100,100,30,Wholesaler,1,2,1.5,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,200,200,30,Wholesaler,2,2,2,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,1,100,100,30,Wholesaler,3,3,3,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,,600,,30,Wholesaler,3,3,3,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,400,400,30,,3,3,3,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,1- trading movement is very weak here and most people shop in Aldhalee city,,,,,,,,,,,,,,,,,,,,,,,
YE0132,2018-04-28T20:39:47.126+03:00,2018-04-28T20:48:01.891+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Khaled,Khaled,ACTED,ACTED,Al Dhale'e,YE30,Qaatabah,YE3003,Sahdah,Al-khashabah,District_level_market,Rural,yes,yes,,315,315,24,Other,20,30,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,yes,yes,,100,100,23,Wholesaler,3,7,5,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,yes,yes,,200,200,30,Wholesaler,3,7,5,Supply_shortage Transportation_issues,0,0,0,0,1,0,1,0,0,0,0,yes,yes,1,80,80,30,Wholesaler,3,7,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,45,45,30,Wholesaler,5,8,,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,yes,yes,,600,,23,Wholesaler,5,7,,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
YE0133,2018-04-28T20:48:21.187+03:00,2018-04-28T21:35:43.824+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Khaled,Khaled,ACTED,ACTED,Al Dhale'e,YE30,Qaatabah,YE3003,Qatabah city,ALmadsam,District_level_market,Urban,yes,yes,,315,315,19,Wholesaler,25,30,,Vendor_did_not_answer,0,0,0,0,0,0,0,0,0,0,1,no,,,,,,,,,,,,,,,,,,,,,,yes,yes,,80,80,23,Wholesaler,7,10,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,200,200,30,Wholesaler,1,2,1.5,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,1,80,80,24,Wholesaler,3,7,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,47,47,30,Wholesaler,7,7,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,yes,,550,,24,Wholesaler,3,6,,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,Fuel  shortages and exchange rates affect   everything,,,,,,,,,,,,,,,,,,,,,,,
YE0134,2018-04-28T18:52:37.323+03:00,2018-04-28T19:10:53.656+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Mohammed,Mohammed,ACTED,ACTED,Al Dhale'e,YE30,Al Hussein,YE3005,City,Al-Metrak,District_level_market,Urban,yes,yes,,290,290,24,Other,20,30,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,310,310,24,Wholesaler,20,30,,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,yes,yes,,100,100,30,Wholesaler,2,3,2.5,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,,200,200,30,Wholesaler,2,3,2.5,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,1,2,,30,Wholesaler,1,2,1.5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,yes,,600,,30,Wholesaler,1,2,1.5,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,,400,400,30,Wholesaler,3,4,3.5,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,trading in the market get affected by also days in some days  people buy things in other days they prefer not to,,,,,,,,,,,,,,,,,,,,,,,
YE0135,2018-04-28T19:21:40.841+03:00,2018-04-28T19:36:52.555+03:00,2018-04-28,ee.humanitarianresponse.info:XYIRcHzOD29jLGSS,2018-04-26,Mohammed,Mohammed,ACTED,ACTED,Al Dhale'e,YE30,Qaatabah,YE3003,Qataba city,Al-Metrak,District_level_market,Urban,yes,yes,,300,300,24,Wholesaler,23,30,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,290,290,24,Wholesaler,25,30,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,70,70,23,Wholesaler,6,10,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,yes,,200,200,30,Wholesaler,3,5,4,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,1,50,,30,Wholesaler,3,5,,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,,50,50,30,Wholesaler,3,5,,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,yes,,800,,24,Wholesaler,5,7,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,the market in Qatabah is very large and it has everything in it and it works all week days,,,,,,,,,,,,,,,,,,,,,,,
