start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2018-12-17T12:37:20.193+03:00,2018-12-17T12:39:09.785+03:00,2018-12-17,ee.humanitarianresponse.info:cdvhTlHxEgLwjefh,2018-12-15,Yaseen,SCI,,YE25,YE2508,Almilah Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1500,1,,10,yes,5000,10000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,510,,,v2ZtbFxdMLUeS6K3smMjSx,43689355,1194dac9-be9c-4d17-a86e-cf42e09fb848,2018-12-17T09:32:59,,1
2018-12-17T22:27:04.748+03:00,2018-12-17T22:28:32.517+03:00,2018-12-17,ee.humanitarianresponse.info:EeFsRTlzl1QjZcp8,2018-12-17,???,SDF,,YE13,YE1303,???? ??????? ??? ?????,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,7,Private,Pumping_Station_or_Borehole,yes,1285,2,,5,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43741017,3440237f-dc80-4978-8f48-db7f885b21ac,2018-12-17T19:28:34,,2
2018-12-09T12:46:28.919+03:00,2018-12-09T15:30:04.522+03:00,2018-12-09,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2018-12-09,Abdu,NRC,,YE17,YE1713,Shamer,Rural,no,,,,,,,,,,,,yes,yes,,350,,,,yes,yes,,360,,,,YE19,15,Price_inflation Shortage_of_demand Insecurity_and_instability Supply_shortage,1,0,1,1,1,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,,,no,,,,,,,yes,yes,75,150,,,,yes,no,200,150,75,,,yes,yes,,800,NaN,,,YE17,Vendor,6,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Public,Pumping_Station_or_Borehole,no,2800,9,,30,Do_not_know,,,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,470,,NO,v2ZtbFxdMLUeS6K3smMjSx,43064515,573b744e-96fd-44a9-bd54-563052907b93,2018-12-09T12:30:33,,3
2018-12-10T08:28:17.559+03:00,2018-12-10T10:13:48.968+03:00,2018-12-10,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2018-12-09,Abdu,NRC,,YE17,YE1713,Shamer,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,430,NaN,,,yes,yes,,445,NaN,,,YE17,7,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,100,NaN,,,yes,yes,75,140,,,,yes,yes,,90,NaN,,,yes,yes,,700,NaN,,,YE17,Vendor,6,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Public,Pumping_Station_or_Borehole,yes,2500,8,,35,no,,,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,470,,No.,v2ZtbFxdMLUeS6K3smMjSx,43112248,c1f04a29-047c-4ee3-93f5-39f65488c89d,2018-12-10T07:14:11,,4
2018-12-10T10:14:12.928+03:00,2018-12-10T12:12:23.540+03:00,2018-12-10,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2018-12-09,Abdu,NRC,,YE17,YE1713,Shamer,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,450,NaN,,,yes,yes,,445,NaN,,,YE17,7,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,140,NaN,,,yes,yes,,120,NaN,,,yes,yes,80,160,,,,yes,yes,,120,NaN,,,yes,yes,,650,NaN,,,YE17,Vendor,6,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Public,Pumping_Station_or_Borehole,Do_not_know,2700,8,,30,no,,,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability Transportation_issues,1,1,1,1,0,0,1,0,0,0,0,yes,470,,No,v2ZtbFxdMLUeS6K3smMjSx,43121718,0ebb7f1f-3d13-40e0-b8b9-c0c6095c0741,2018-12-10T09:12:27,,5
2018-12-10T12:12:28.833+03:00,2018-12-10T14:18:01.125+03:00,2018-12-10,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2018-12-08,Mohammed,NRC,,YE17,YE1715,Almagtherah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,485,NaN,,,yes,yes,,445,NaN,,,YE18,7,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,yes,,120,NaN,,,yes,yes,75,100,,,,yes,yes,,100,NaN,,,yes,yes,,850,NaN,,,YE17,Wholesaler,7,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,3000,6,,39,yes,12000,18000,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,470,,,v2ZtbFxdMLUeS6K3smMjSx,43132472,ffdbd18e-afac-45f0-aae0-09b092fb4f9b,2018-12-10T11:18:03,,6
2018-12-10T19:47:25.098+03:00,2018-12-10T20:00:22.388+03:00,2018-12-10,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2018-12-10,Shawqi,NRC,,YE18,YE1802,Alluheyah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,445,NaN,,,yes,yes,,430,NaN,,,YE18,10,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,75,150,,,,yes,yes,,120,NaN,,,yes,yes,,500,NaN,,,YE18,Vendor,4,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,1800,5,,10,yes,1800,4000,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,500,,non,v2ZtbFxdMLUeS6K3smMjSx,43161592,1577c5f2-faba-42ed-95eb-1b92fdb671dc,2018-12-10T17:00:40,,7
2018-12-10T20:00:42.545+03:00,2018-12-10T20:04:04.568+03:00,2018-12-10,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2018-12-10,Shawqi,NRC,,YE18,YE1806,Alluheyah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,450,NaN,,,yes,yes,,440,NaN,,,YE18,8,Price_inflation Shortage_of_demand Insecurity_and_instability Government_regulations Transportation_issues,1,0,1,1,0,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,75,150,,,,yes,yes,,140,NaN,,,yes,yes,,550,NaN,,,YE18,Vendor,4,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2000,5,,5,no,,,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,510,,non,v2ZtbFxdMLUeS6K3smMjSx,43161860,74d9be5e-54dc-418c-aae4-139def326bb5,2018-12-10T17:04:13,,8
2018-12-10T20:04:16.315+03:00,2018-12-10T20:07:26.510+03:00,2018-12-10,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2018-12-10,Shawqi,NRC,,YE18,YE1806,Alluheyah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,445,NaN,,,yes,yes,,430,NaN,,,YE18,10,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,75,150,,,,yes,no,200,280,140,,,yes,yes,,500,NaN,,,YE18,Vendor,5,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2000,6,,6,no,,,Insecurity_and_instability Transportation_issues,0,0,0,1,0,0,1,0,0,0,0,yes,500,,non,v2ZtbFxdMLUeS6K3smMjSx,43162010,f269c182-e555-4e70-b7c3-a9c7a5590793,2018-12-10T17:07:50,,9
2018-12-11T11:45:24.308+03:00,2018-12-11T11:58:26.482+03:00,2018-12-11,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2018-12-08,Mohammed,NRC,,YE17,YE1715,Almagthera,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,20,9000,450,,,yes,no,20,8900,445,,,YE18,7,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,yes,,120,NaN,,,yes,yes,75,100,,,,yes,no,500,450,90,,,yes,yes,,700,NaN,,,YE17,Vendor,5,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Public,Pumping_Station_or_Borehole,yes,2900,5,,30,no,,,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,470,,No,v2ZtbFxdMLUeS6K3smMjSx,43208626,1fd56b4b-cdb2-46f1-abd5-820e46f61387,2018-12-11T08:58:27,,10
