_uuid,date_survey,select_one_organisation_name,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,_uuid,_index
a0861e18-7dbf-4d73-bc66-72fd89b811e4,2019-02-18,ACTED,YE11,Ibb,YE1102,Yarim,Al-Da'eri -Gawlat Sanad,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Da'eri -Gawlat Sanad,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,2,Price Inflation Transportation Issues,1,0,0,0,0,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,No,4,250,625,,,Yes,Yes,,140,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,550,NaN,,,Ibb,Wholesaler,14,Price Inflation Shortage of Demand,1,0,1,0,0,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,8,Private,Pumping Station or Borehole,No,3500,,2,10,Yes,7000,9000,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,Yes,595,,,a0861e18-7dbf-4d73-bc66-72fd89b811e4,2
fd97f0a6-d906-4e0e-ac6e-2207f91873b6,2019-02-18,ACTED,YE11,Ibb,YE1102,Yarim,Al-Khashabah Market,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Khashabah Market,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,5,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,No,5,100,200,,,Yes,Yes,,130,,,,Yes,No,110,90,81.81818182,,,Yes,Yes,,500,NaN,,,Ibb,Wholesaler,12,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,2.5,Private,Pumping Station or Borehole,No,1500,,1,10,Yes,3000,5500,Price Inflation Liquidity Shortage Transportation Issues,1,1,0,0,0,0,1,0,0,0,0,Yes,590,,,fd97f0a6-d906-4e0e-ac6e-2207f91873b6,3
a1bdb9d6-207e-443f-ba7c-e3591e684e07,2019-02-18,ACTED,YE11,Ibb,YE1102,Yarim,Al-Da'eri Al-gharbi,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Da'eri Al-gharbi,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,3,Price Inflation Insecurity and Instability Transportation Issues,1,0,0,1,0,0,1,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,Yes,,200,NaN,,,Yes,Yes,,130,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,550,NaN,,,Ibb,,10,Price Inflation Liquidity Shortage Shortage of Demand,1,1,1,0,0,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,2,Private,Pumping Station or Borehole,No,1500,,3,10,Yes,3500,6000,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,Yes,595,,,a1bdb9d6-207e-443f-ba7c-e3591e684e07,4
3a27f6e0-e9ba-4a6b-b73e-5c5e17e2ca00,2019-02-19,ACTED,YE11,Ibb,YE1116,Dhi As Sufal,Al-Sha'rea Al-Aa'm,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Sha'rea Al-Aa'm,Yes,Yes,,325,NaN,,,Yes,Yes,,350,NaN,,,Al Dhale'e,10,Price Inflation Shortage of Demand Insecurity and Instability,1,0,1,1,0,0,0,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,Yes,,100,NaN,,,Yes,Yes,,150,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,447,NaN,,,Ibb,Wholesaler,15,Price Inflation Liquidity Shortage Shortage of Demand,1,1,1,0,0,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,7,Private,Pumping Station or Borehole,Yes,4000,,2,5,Yes,20000,0,Price Inflation Liquidity Shortage Shortage of Demand Other (see next question),1,1,1,0,0,0,0,1,0,0,0,Yes,570,,Increase the water price in the pumping station or borehole because the low level of water,3a27f6e0-e9ba-4a6b-b73e-5c5e17e2ca00,18
c7150a19-fa59-4a36-b512-0963a66a12a4,2019-02-19,ACTED,YE11,Ibb,YE1116,Dhi As Sufal,Al-Thalatheen street,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Thalatheen street,Yes,Yes,,325,NaN,,,Yes,Yes,,350,NaN,,,Al Dhale'e,7,Price Inflation Transportation Issues,1,0,0,0,0,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,120,NaN,,,Yes,No,5,220,440,,,Yes,Yes,,120,,,,Yes,No,110,80,72.72727273,,,Yes,Yes,,500,NaN,,,Ibb,Wholesaler,14,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Private,Pumping Station or Borehole,Do Not Know,3500,,3,10,Yes,20000,25000,Price Inflation Shortage of Demand Transportation Issues Other (see next question),1,0,1,0,0,0,1,1,0,0,0,Yes,575,,Low water level in the borehole,c7150a19-fa59-4a36-b512-0963a66a12a4,19
d7b68710-23c9-4f3e-a076-f9567376fe42,2019-02-19,ACTED,YE11,Ibb,YE1116,Dhi As Sufal,Al-Sayani,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Sayani,Yes,Yes,,325,NaN,,,Yes,Yes,,350,NaN,,,Al Dhale'e,5,Price Inflation Shortage of Demand Insecurity and Instability,1,0,1,1,0,0,0,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,Yes,,150,NaN,,,Yes,Yes,,130,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,550,NaN,,,Ibb,Wholesaler,12,Price Inflation Liquidity Shortage Insecurity and Instability,1,1,0,1,0,0,0,0,0,0,0,Yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping Station or Borehole,Do Not Know,4000,,1,0,No,,,Price Inflation Shortage of Demand Insecurity and Instability,1,0,1,1,0,0,0,0,0,0,0,Yes,565,,,d7b68710-23c9-4f3e-a076-f9567376fe42,20
d26d9ee7-cb09-400d-9bbd-a7987a01f939,2019-02-20,ACTED,YE11,Ibb,YE1118,Al Mashannah,Muthalath Al-Muwaslat,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Muthalath Al-Muwaslat,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,4,Price Inflation Liquidity Shortage Insecurity and Instability,1,1,0,1,0,0,0,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,No,5,100,200,,,Yes,Yes,,140,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,600,NaN,,,Ibb,Wholesaler,14,Price Inflation,1,0,0,0,0,0,0,0,0,0,0,Yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping Station or Borehole,Do Not Know,3000,,3,5,Yes,14000,0,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,Yes,550,,,d26d9ee7-cb09-400d-9bbd-a7987a01f939,27
7680116a-a839-4191-ac6d-c2b24fa14773,2019-02-20,ACTED,YE11,Ibb,YE1118,Al Mashannah,Mafraq Maitam,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Mafraq Maitam,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,5,Price Inflation Shortage of Demand Government Regulations,1,0,1,0,0,1,0,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,No,5,100,200,,,Yes,Yes,,150,,,,Yes,No,110,100,90.90909091,,,Yes,Yes,,550,NaN,,,Ibb,Wholesaler,7,Price Inflation Liquidity Shortage,1,1,0,0,0,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping Station or Borehole,No,3500,,2,10,Yes,14000,20000,Price Inflation Liquidity Shortage Shortage of Demand,1,1,1,0,0,0,0,0,0,0,0,Yes,545,,,7680116a-a839-4191-ac6d-c2b24fa14773,28
336c639a-2937-4e6d-a628-b3b779f75f4c,2019-02-20,ACTED,YE11,Ibb,YE1118,Al Mashannah,Mafraq Giblah,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Mafraq Giblah,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,2,Price Inflation Liquidity Shortage Transportation Issues,1,1,0,0,0,0,1,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,No,5,100,200,,,Yes,Yes,,130,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,600,NaN,,,Ibb,,10,Price Inflation Shortage of Demand,1,0,1,0,0,0,0,0,0,0,0,Yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping Station or Borehole,No,3000,,1,3,No,,,Price Inflation Shortage of Demand,1,0,1,0,0,0,0,0,0,0,0,Yes,550,,,336c639a-2937-4e6d-a628-b3b779f75f4c,29
a41f18e9-45c7-4010-8556-4956c479dab2,2019-02-20,ACTED,YE11,Ibb,YE1119,Al Dhihar,Al-Udain street,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,Al-Udain street,Yes,Yes,,325,NaN,,,Yes,Yes,,375,NaN,,,Al Hudaydah,2,Price Inflation Insecurity and Instability,1,0,0,1,0,0,0,0,0,0,0,,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,130,NaN,,,Yes,No,5,200,400,,,Yes,Yes,,140,,,,Yes,Yes,,120,NaN,,,Yes,Yes,,550,NaN,,,Ibb,Wholesaler,7,Price Inflation Liquidity Shortage Transportation Issues,1,1,0,0,0,0,1,0,0,0,0,Yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping Station or Borehole,No,2500,,3,5,Yes,15000,0,Price Inflation Liquidity Shortage Other (see next question),1,1,0,0,0,0,0,1,0,0,0,Yes,550,,low water levels in the borehole,a41f18e9-45c7-4010-8556-4956c479dab2,24
