start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_diesel_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,_uuid,_submission_time,_index
2019-01-28T09:48:19.110+03:00,2019-01-28T09:53:13.992+03:00,2019-01-28,ee.humanitarianresponse.info:paoaDjr0CVTeiwJk,2019-01-23,???,TYF,,YE15,Taizz,YE1502,Shara'b As Salam,??? ???? ????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,330,NaN,340,,yes,yes,,340,NaN,340,,YE24,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,130,NaN,130,,yes,yes,,80,NaN,80,,yes,yes,100,150,120,120,,yes,yes,,120,NaN,120,,yes,yes,,500,NaN,500,,YE24,Vendor,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,550,,,82dbde3c-156c-4582-9b13-7785c9d7d090,2019-01-28T06:53:10,1
2019-01-21T15:58:09.594+03:00,2019-01-21T16:01:17.848+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,340,NaN,340,,yes,yes,,340,NaN,340,,YE19,3,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,fce34a24-d8fe-4e64-a8f4-bce5c0ebe171,2019-01-21T13:01:33,2
2019-01-21T15:52:11.771+03:00,2019-01-21T15:57:32.535+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,340,NaN,340,,yes,yes,,340,NaN,340,,YE24,3,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,b7ee2cec-7cee-46de-bd03-66d21bc162b4,2019-01-21T12:58:09,3
2019-01-21T15:51:01.467+03:00,2019-01-21T15:51:54.631+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,515,,,66e054ec-31c3-4655-a06e-e2bdee7c4a61,2019-01-21T12:52:11,4
2019-01-21T15:44:18.227+03:00,2019-01-21T15:50:57.812+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,541,,,2a217f6d-43ff-4781-acf2-2b4a49dc3c4e,2019-01-21T12:51:01,5
2019-01-21T15:39:17.525+03:00,2019-01-21T15:43:57.732+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,15,2000,100,100,,no,,,,,0,,yes,no,5400,7000,103.7037037,103.7037037,,yes,no,5280,4800,90.90909091,90.90909091,,no,,,,,,,YE24,Wholesaler,2,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,69dfe068-57b2-4051-9f5b-3cd9cf66cfa5,2019-01-21T12:44:17,6
2019-01-22T09:37:04.136+03:00,2019-01-22T10:45:47.820+03:00,2019-01-22,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2019-01-22,Mahdi,NRC,,YE18,Al Hudaydah,YE1806,Al Qanawis,Alqanawis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,410,NaN,380,,yes,yes,,380,NaN,380,,YE18,4,Price_inflation Supply_shortage Government_regulations Transportation_issues,1,0,0,0,1,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,120,,yes,yes,,150,NaN,150,,yes,yes,75,120,128,128,,yes,no,110,100,90.90909091,90.90909091,,yes,yes,,600,NaN,600,,YE18,Wholesaler,3,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash Mobile_money,1,1,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2200,10,,10,no,,,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,yes,530,,,c56c3318-c223-409c-9ec5-e3ed46d9de1b,2019-01-22T07:45:54,7
2019-01-21T15:34:27.390+03:00,2019-01-21T15:38:57.591+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,,no,,,,,0,,yes,yes,75,150,160,160,,yes,yes,,120,NaN,120,,no,,,,,,,YE24,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,d86ef737-ef88-4689-b89e-1264b2c7da64,2019-01-21T12:39:17,8
2019-01-21T15:26:16.498+03:00,2019-01-21T15:34:22.707+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,,yes,yes,,100,NaN,100,,yes,yes,75,130,138.6666667,138.6666667,,yes,yes,,110,NaN,110,,yes,yes,,350,NaN,350,,YE24,Wholesaler,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,d7343af0-0dda-4776-9691-f3b73f26c2e3,2019-01-21T12:34:27,9
2019-01-21T15:13:33.910+03:00,2019-01-21T15:15:25.911+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,330,NaN,340,,yes,yes,,340,NaN,340,,YE24,2,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,230f964a-eff1-47e3-8857-bf871c7a9fef,2019-01-21T12:15:49,10
