row_id,start,end,today,deviceid,date_survey,enumerator_id,organisation_name,org_name_en,governorate_ID,gov_name,district_ID,district_name,market_name,market_name_en,type_market,type_area,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,price_petrol_normalised,petrol_gov_origin_petrol,petrol_type_supplier,petrol_restock_days_min,petrol_constraints_multiple,petrol_constraints_multiple/Price_inflation,petrol_constraints_multiple/Liquidity_shortage,petrol_constraints_multiple/Shortage_of_demand,petrol_constraints_multiple/Insecurity_and_instability,petrol_constraints_multiple/Supply_shortage,petrol_constraints_multiple/Government_regulations,petrol_constraints_multiple/Transportation_issues,petrol_constraints_multiple/Other_see_next_question,petrol_constraints_multiple/Do_not_know,petrol_constraints_multiple/No_constraints,petrol_constraints_multiple/Vendor_did_not_answer,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,price_diesel_normalised,diesel_gov_origin,diesel_type_supplier,diesel_restock_days_min,diesel_constraints_multiple,diesel_constraints_multiple/Price_inflation,diesel_constraints_multiple/Liquidity_shortage,diesel_constraints_multiple/Shortage_of_demand,diesel_constraints_multiple/Insecurity_and_instability,diesel_constraints_multiple/Supply_shortage,diesel_constraints_multiple/Government_regulations,diesel_constraints_multiple/Transportation_issues,diesel_constraints_multiple/Other_see_next_question,diesel_constraints_multiple/Do_not_know,diesel_constraints_multiple/No_constraints,diesel_constraints_multiple/Vendor_did_not_answer,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,price_bottled_water_normalised,bottled_gov_origin,bottled_type_supplier,bottled_restock_days_min,bottled_constraints_multiple,bottled_constraints_multiple/Price_inflation,bottled_constraints_multiple/Liquidity_shortage,bottled_constraints_multiple/Shortage_of_demand,bottled_constraints_multiple/Insecurity_and_instability,bottled_constraints_multiple/Supply_shortage,bottled_constraints_multiple/Government_regulations,bottled_constraints_multiple/Transportation_issues,bottled_constraints_multiple/Other_see_next_question,bottled_constraints_multiple/Do_not_know,bottled_constraints_multiple/No_constraints,bottled_constraints_multiple/Vendor_did_not_answer,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,price_treated_water_normalised,treated_gov_origin,treated_type_supplier,treated_restock_days_min,treated_constraints_multiple,treated_constraints_multiple/Price_inflation,treated_constraints_multiple/Liquidity_shortage,treated_constraints_multiple/Shortage_of_demand,treated_constraints_multiple/Insecurity_and_instability,treated_constraints_multiple/Supply_shortage,treated_constraints_multiple/Government_regulations,treated_constraints_multiple/Transportation_issues,treated_constraints_multiple/Other_see_next_question,treated_constraints_multiple/Do_not_know,treated_constraints_multiple/No_constraints,treated_constraints_multiple/Vendor_did_not_answer,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,price_soap_normalised,soap_gov_origin,soap_type_supplier,soap_restock_days_min,soap_constraints_multiple,soap_constraints_multiple/Price_inflation,soap_constraints_multiple/Liquidity_shortage,soap_constraints_multiple/Shortage_of_demand,soap_constraints_multiple/Insecurity_and_instability,soap_constraints_multiple/Supply_shortage,soap_constraints_multiple/Government_regulations,soap_constraints_multiple/Transportation_issues,soap_constraints_multiple/Other_see_next_question,soap_constraints_multiple/Do_not_know,soap_constraints_multiple/No_constraints,soap_constraints_multiple/Vendor_did_not_answer,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,price_laundry_powder_normalised,laundry_gov_origin,laundry_type_supplier,laundry_restock_days_min,laundry_constraints_multiple,laundry_constraints_multiple/Price_inflation,laundry_constraints_multiple/Liquidity_shortage,laundry_constraints_multiple/Shortage_of_demand,laundry_constraints_multiple/Insecurity_and_instability,laundry_constraints_multiple/Supply_shortage,laundry_constraints_multiple/Government_regulations,laundry_constraints_multiple/Transportation_issues,laundry_constraints_multiple/Other_see_next_question,laundry_constraints_multiple/Do_not_know,laundry_constraints_multiple/No_constraints,laundry_constraints_multiple/Vendor_did_not_answer,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,price_sanitary_napkins_normalised,napkins_gov_origin,napkins_type_supplier,napkins_restock_days_min,napkins_constraints_multiple,napkins_constraints_multiple/Price_inflation,napkins_constraints_multiple/Liquidity_shortage,napkins_constraints_multiple/Shortage_of_demand,napkins_constraints_multiple/Insecurity_and_instability,napkins_constraints_multiple/Supply_shortage,napkins_constraints_multiple/Government_regulations,napkins_constraints_multiple/Transportation_issues,napkins_constraints_multiple/Other_see_next_question,napkins_constraints_multiple/Do_not_know,napkins_constraints_multiple/No_constraints,napkins_constraints_multiple/Vendor_did_not_answer,sell_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_price,additional_cost_10,additional_cost_20,additional_cost_30,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,cash_feasibility,cash_feasibility/Cash,cash_feasibility/Mobile_money,cash_feasibility/Credit_debit_Card,cash_feasibility/Prepaid_cards,cash_feasibility/Credit,cash_feasibility/Vouchers,cash_feasibility/Bartering,cash_feasibility/Other,cash_feasibility/Do_not_know,Other_cash_feasibility,further_comments,comments_en,_id,_uuid,_submission_time,_index,,,,,,,,,,,
YEM002,2018-07-26T11:36:47.824+03:00,2018-07-26T12:02:24.531+03:00,2018-07-26,ee.humanitarianresponse.info:lA5vENs1OnELgkg2,2018-07-24,Mahdi Otain,NRC,NRC,YE18,Al Hudaydah,YE1806,Al Qanawis,Al-qanawis,Al-qanawis,District_level_market,Rural,yes,yes,,350,350,YE18,Wholesaler,,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,yes,,380,380,YE18,Wholesaler,,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,yes,,150,150,YE18,Wholesaler,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,yes,,155,155,YE18,Wholesaler,,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,yes,250,160,64,YE18,Wholesaler,,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,yes,700,300,42.85714286,YE18,Wholesaler,,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,yes,,700,700,YE18,Vendor,,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,yes,4,Private,Pumping_Station_or_Borehole,yes,1500,2,,yes,6000,8000,10000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,Cash,1,0,0,0,0,0,0,0,0,,,,26639511,163b10ef-ef67-43bb-996c-2446d255d7fb,2018-07-26T09:02:37,34,,,,,,,,,,,
YEM100,2018-07-29T23:28:35.971+03:00,2018-07-29T23:39:55.845+03:00,2018-07-29,ee.humanitarianresponse.info:QymgjdKSXTTQ4nKY,2018-07-26,????? ???? ?????,??? ?????? ???? ?????,ROC,YE15,Taizz,YE1508,Jabal Habashy,??? ???????,Jesr Al Hamli,Other,Rural,yes,yes,,360,360,YE24,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,360,360,YE24,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,100,100,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,yes,yes,100,100,100,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,70,70,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Supply_shortage,1,1,1,0,1,0,0,0,0,0,0,yes,yes,,580,580,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,4,Private,Pumping_Station_or_Borehole,no,1000,18,,yes,5500,6500,8000,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,Cash,1,0,0,0,0,0,0,0,0,,,,26867285,0b085872-8e6d-432d-933b-025e6a7df119,2018-07-29T21:16:14,158,,,,,,,,,,,
YEM026,2018-07-29T00:39:38.713+03:00,2018-07-29T00:44:57.267+03:00,2018-07-29,ee.humanitarianresponse.info:QymgjdKSXTTQ4nKY,2018-07-26,????? ??????? ???,??? ?????? ???? ?????,ROC,YE15,Taizz,YE1514,Ash Shamayatayn,???????,Al-Qabela,Other,Rural,yes,yes,,400,400,YE15,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,400,400,YE15,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,100,100,YE15,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,yes,yes,100,120,120,YE15,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,90,90,YE15,Wholesaler,1,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,yes,,550,550,YE15,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,Cash,1,0,0,0,0,0,0,0,0,,,,26818303,b4b28d02-6d0d-47df-9e91-78869293acb5,2018-07-28T21:45:04,99,,,,,,,,,,,
YEM277,2018-07-30T22:33:34.674+03:00,2018-07-30T23:05:28.760+03:00,2018-07-30,ee.humanitarianresponse.info:QymgjdKSXTTQ4nKY,2018-07-26,?????? ???? ???????,??? ?????? ???? ?????,ROC,YE13,Amanat Al Asimah,YE1307,At Tahrir,??? ??????,Qa'a Al Alfi,Other,Urban,yes,yes,,375,375,YE18,Wholesaler,5,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,yes,,375,375,YE18,Wholesaler,5,Insecurity_and_instability Transportation_issues,0,0,0,1,0,0,1,0,0,0,0,yes,yes,,120,120,YE13,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,50,50,YE13,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,100,100,100,YE13,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,70,70,YE13,Wholesaler,1,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,yes,,550,550,YE13,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,7,Private,Pumping_Station_or_Borehole,no,1200,9,,yes,8500,10500,13500,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,Cash,1,0,0,0,0,0,0,0,0,,,,26945648,3b4a5bf6-1586-4e57-b007-ac878ab666d3,2018-07-30T20:05:37,166,,,,,,,,,,,
YEM101,2018-07-29T22:30:22.359+03:00,2018-07-29T23:28:35.671+03:00,2018-07-29,ee.humanitarianresponse.info:QymgjdKSXTTQ4nKY,2018-07-28,????? ???? ?????,??? ?????? ???? ?????,ROC,YE15,Taizz,YE1508,Jabal Habashy,????,Muwazi',District_level_market,Rural,yes,yes,,360,360,YE24,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,yes,yes,,360,360,YE24,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,yes,yes,,100,100,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,yes,yes,100,100,100,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,yes,yes,,70,70,YE24,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,yes,,550,550,YE24,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,yes,6,,Pumping_Station_or_Borehole,no,1000,20,,yes,7500,8000,9500,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,Cash,1,0,0,0,0,0,0,0,0,,,,26867284,94ecda51-dc20-46e2-8fc9-c127f2d383bf,2018-07-29T21:16:12,157,,,,,,,,,,,
YEM313,2018-07-29T20:01:23.435+03:00,2018-07-31T13:40:48.157+03:00,2018-07-29,ee.humanitarianresponse.info:YYh4VbXmbRX99iBB,2018-07-26,????,????,ACTED,YE30,Al Dhale'e,YE3003,Qaatabah,???????,Qaatabah Al Madeenah,District_level_market,Urban,yes,yes,,350,350,YE19,Wholesaler,30,Liquidity_shortage Shortage_of_demand Supply_shortage Transportation_issues,0,1,1,0,1,0,1,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,yes,yes,,120,120,YE23,Wholesaler,14,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,yes,yes,1,100,100,YE24,Wholesaler,10,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,yes,yes,,100,100,YE24,Wholesaler,10,Shortage_of_demand Supply_shortage Transportation_issues,0,0,1,0,1,0,1,0,0,0,0,yes,yes,,500,500,YE24,Wholesaler,10,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,3,Private,Pumping_Station_or_Borehole,no,5000,2,,no,,,,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,Cash Credit,1,0,0,0,1,0,0,0,0,,????????? ??????? ?? ??? ????? ?? ???? ???? ???? ?? ??? ???? ???? ??? ????? ??? ???? ?? ????? ????? ?????? ???? ?????? ??? ??? ?? ????? ??????,"The above information was not taken from one merchant but from several dealers and both according to Malé and every merchant in the city of Kotba, the market is large and a number of wholesale shops",26977498,4e21d6f8-3e41-4b55-b797-e0d5f2240e1d,2018-07-31T10:40:55,178,,,,,,,,,,,
YEM274,2018-07-30T10:51:45.010+03:00,2018-07-30T11:42:51.892+03:00,2018-07-30,ee.humanitarianresponse.info:QH8i2rw99iQ9vbvS,2018-07-25,?????????,NFDHR,NFDHR,YE14,Al Bayda,YE1413,Rada,??? ???????? ??????,"Old Hospital Market, Souq Al Mostashfa Al Qadeem",District_level_market,Urban,yes,yes,,370,370,YE26,Wholesaler,4,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,yes,,355,355,YE26,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,yes,,80,80,YE11,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,yes,,80,80,YE11,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,yes,100,120,120,YE14,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,yes,,90,90,YE14,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,yes,,500,500,YE14,Wholesaler,1,Price_inflation Liquidity_shortage Insecurity_and_instability,1,1,0,1,0,0,0,0,0,0,0,yes,3,Private,Pumping_Station_or_Borehole,Do_not_know,1500,5,,yes,5000,6000,7000,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,Cash Credit,1,0,0,0,1,0,0,0,0,,??? ????? ?????? ?????? ????? ?? ???? ??? ??? ???? ??? ???? ????? ?????? (????? ?? ????),The price of filling water watered varies from one vendor to another depending on the type of fuel running the wate (oil or diesel),26890182,45c213b4-f236-4ccd-8eb8-789b73b88ef0,2018-07-30T09:19:56,163,,,,,,,,,,,
YEM040,2018-07-29T17:14:21.544+03:00,2018-07-29T17:24:03.349+03:00,2018-07-29,ee.humanitarianresponse.info:HeVL30VLdsHjUSfW,2018-07-28,????,YSD,YSD,YE23,Sana'a,YE2302,Arhab,??? ?????,Bait Al-washr,District_level_market,Rural,yes,yes,,380,380,YE23,Vendor,2,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,yes,yes,,375,375,YE23,Vendor,2,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,yes,yes,,100,100,YE23,Wholesaler,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,no,5,100,200,YE23,Wholesaler,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,yes,75,120,160,YE23,Wholesaler,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,yes,,80,80,YE23,Wholesaler,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,yes,,500,500,YE23,Wholesaler,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,8,Private,Pumping_Station_or_Borehole,no,1300,8,,yes,13000,,,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,Cash,1,0,0,0,0,0,0,0,0,,,,26864540,9ebf1894-0420-438d-b480-4131849c8743,2018-07-29T18:47:55,148,,,,,,,,,,,
YEM310,2018-07-29T19:24:25.773+03:00,2018-07-31T13:39:19.724+03:00,2018-07-29,ee.humanitarianresponse.info:YYh4VbXmbRX99iBB,2018-07-26,????,????,ACTED,YE30,Al Dhale'e,YE3006,Ad Dhalee,?????? ????????,Al Qari'e wal Shanfara,Other,Rural,yes,yes,,350,350,YE19,Wholesaler,20,Price_inflation Supply_shortage Transportation_issues Other_see_next_question,1,0,0,0,1,0,1,1,0,0,0,no,,,,,,,,,,,,,,,,,,,,yes,yes,,120,120,YE30,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,yes,yes,1,100,100,YE30,Wholesaler,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,yes,,80,80,YE30,Wholesaler,3,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,yes,,500,500,YE30,Wholesaler,4,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,5,Private,,no,2000,5,,no,,,,Price_inflation Other_see_next_question,1,0,0,0,0,0,0,1,0,0,0,Cash Credit,1,0,0,0,1,0,0,0,0,,??? ??????? ?????? ?? ?????? ????? ?????? ????? ????? ??? ??? ???? ???? ????? ????? ?? ??? ?? 3 ?????? ????? ????????? ???????? ???? ????? ?? ????? ???????? ??????? ???? ?????? ??? ????? ???? ?????? ???? ????? ?????? ??? ???? ??? ????,The market was noticed the petrol stations and oil turbines only and there is no diesel and also do not find in 3 grocery stores Miahrootm imported to this market from the capital of the province and movement in which the average to light and some of the hours are limited only because it is a small market,26977409,4331b0f9-17b6-493c-b836-63e4d3c46f97,2018-07-31T10:39:28,175,,,,,,,,,,,
YEM311,2018-07-29T19:34:58.315+03:00,2018-07-31T13:39:31.771+03:00,2018-07-29,ee.humanitarianresponse.info:YYh4VbXmbRX99iBB,2018-07-26,????,????,ACTED,YE30,Al Dhale'e,YE3006,Ad Dhalee,??????? ???????,Al Qari'e wal Shanfara,Other,Rural,yes,yes,,350,350,YE24,Wholesaler,13,Price_inflation Insecurity_and_instability Transportation_issues Other_see_next_question,1,0,0,1,0,0,1,1,0,0,0,yes,yes,,360,360,YE24,Wholesaler,15,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues Other_see_next_question,1,0,0,1,1,0,1,1,0,0,0,yes,yes,,120,120,YE30,Wholesaler,2,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,yes,,250,250,YE30,Wholesaler,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,yes,1,100,100,YE30,Wholesaler,,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,yes,,75,75,YE30,Wholesaler,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,yes,,500,500,YE30,Wholesaler,5,Price_inflation Liquidity_shortage Supply_shortage Other_see_next_question,1,1,0,0,1,0,0,1,0,0,0,yes,5,Private,Pumping_Station_or_Borehole,no,2200,7,,no,,,,Price_inflation Other_see_next_question,1,0,0,0,0,0,0,1,0,0,0,Cash Credit,1,0,0,0,1,0,0,0,0,,?? ????????? ?? ????? ?????? ?? ????? ?????? ?????? ???? ?????? ???? ?????? ??????? ???????? ?????? ?? ??? ??????? ????? ????? ?? ??? ??????? ????? ??? ????? ??? ?????? ?????? ?? ???? ??? ???? ??????? ??????? ???? ???,"The questionnaire was made from medium grocery in the popular market, water pump, gas stations, etc., and the traffic is average at times, and sometimes it is also light sometimes for only a few hours. The movement varies from one hour to one hour.",26977421,7d773177-d32e-4002-8ff2-97638f4743eb,2018-07-31T10:39:40,176,,,,,,,,,,,
