start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2019-03-20T14:51:13.607+03:00,2019-03-20T15:01:22.566+03:00,2019-03-20,ee.humanitarianresponse.info:kxLXFDpAAiIDf5ms,2019-03-18,Muaath,SI,,YE15,YE1505,Al Mokha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,360,,,yes,yes,,390,390,,,YE24,7,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,,yes,yes,,105,105,,,no,,,,,,,yes,no,5400,8000,119,,,yes,no,4800,4700,98,,,yes,no,24,7300,3042,,,YE15,Wholesaler,7,Price_inflation Government_regulations Transportation_issues,1,0,0,0,0,1,1,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,580,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,50353942,56f4343c-1ba3-4ea2-bb43-aee292a91f13,2019-03-20T12:01:30,,1
2019-03-20T14:07:21.619+03:00,2019-03-20T14:54:44.960+03:00,2019-03-20,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2019-03-17,???? ?????,NRC,,YE17,YE1713,??? ???,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,430,430,,,yes,yes,,365,365,,,YE18,2,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,120,120,,,yes,no,700,500,71,,,yes,yes,,700,700,,,YE17,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,4500,8,,35,yes,13000,18000,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,575,,yes,dmg_infra_market move_restriction,1,0,0,1,0,0,,road electrical,1,1,0,0,0,,yes,yes,yes,yes,yes,yes,??,v2ZtbFxdMLUeS6K3smMjSx,50352783,626c917f-3195-402f-a6be-55fa05bbe46a,2019-03-20T11:54:43,,2
2019-03-20T14:37:51.995+03:00,2019-03-20T14:50:59.787+03:00,2019-03-20,ee.humanitarianresponse.info:kxLXFDpAAiIDf5ms,2019-03-18,Muaath,SI,,YE15,YE1505,Al Mokha,Urban,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,400,400,,,YE24,7,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,,yes,Credit,0,0,0,0,1,0,0,0,0,,yes,yes,,115,115,,,no,,,,,,,yes,yes,,140,140,,,yes,yes,,100,100,,,yes,yes,,400,400,,,YE24,Wholesaler,30,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,575,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,50352117,2bf5d54a-673c-4db8-b6a0-253800d85556,2019-03-20T11:51:12,,3
2019-03-25T15:40:31.279+03:00,2019-03-25T15:50:07.054+03:00,2019-03-25,ee.humanitarianresponse.info:QdzZlx4faVRSgnUx,2019-03-18,Zaid,SI,,YE15,YE1514,??? ??????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,400,400,,,YE25,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,75,75,,,yes,yes,,100,100,,,yes,yes,,100,100,,,yes,no,5280,4800,91,,,no,,,,,,,YE24,Wholesaler,2,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,583,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,50860918,0a65e046-3f74-4852-a84d-ecd23e2ae2b2,2019-03-25T12:50:02,,4
2019-03-25T15:22:27.485+03:00,2019-03-25T15:40:28.658+03:00,2019-03-25,ee.humanitarianresponse.info:QdzZlx4faVRSgnUx,2019-03-18,Zaid,SI,,YE15,YE1514,??? ??????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,390,390,,,YE25,2,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,100,100,,,yes,yes,,110,110,,,yes,no,700,450,64,,,yes,yes,,450,450,,,YE15,Wholesaler,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,585,,no,,,,,,,,,,,,,,,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,50859091,35015396-b19b-4a2e-8f2f-724abaea41cb,2019-03-25T12:40:24,,5
2019-03-25T12:48:12.138+03:00,2019-03-25T14:38:24.687+03:00,2019-03-25,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2019-03-25,Mahdi,NRC,,YE18,YE1806,Al qanawis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,380,380,,,YE18,5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,no,20,200,100,,,yes,yes,,75,75,,,yes,no,110,120,109,,,yes,yes,,700,700,,,YE18,Vendor,2,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2500,5,,5,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,570,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,non,v2ZtbFxdMLUeS6K3smMjSx,50846722,7426c1c4-d12c-407d-8ae0-6c7369b66d49,2019-03-25T11:38:26,,6
2019-03-25T10:14:59.009+03:00,2019-03-25T11:08:36.891+03:00,2019-03-25,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2019-03-24,Shawqi,NRC,,YE18,YE1802,Alluheyah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,390,390,,,YE18,5,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,no,20,200,100,,,yes,yes,,150,150,,,yes,no,110,100,91,,,yes,yes,,650,650,,,YE18,Vendor,3,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,2500,4,,4,no,,,Insecurity_and_instability Supply_shortage Transportation_issues,0,0,0,1,1,0,1,0,0,0,0,yes,570,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,non,v2ZtbFxdMLUeS6K3smMjSx,50809409,53386f80-56df-469f-a90d-4529cdf2869b,2019-03-25T08:08:38,,7
2019-03-18T11:42:01.715+03:00,2019-03-18T12:37:13.523+03:00,2019-03-18,ee.humanitarianresponse.info:OWowPIZSl6o9FicH,2019-03-18,Alanood Mohammed,DRC,,YE21,YE2113,??? ???,Urban,yes,Credit,0,0,0,0,1,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,370,370,,,YE19,2,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,yes,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,no,110,120,109,,,yes,yes,,400,400,,,YE21,Wholesaler,1,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Credit,0,0,0,0,1,0,0,0,0,,60,Private,Pumping_Station_or_Borehole,no,2700,15,,22,yes,6500,0,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,yes,587,,yes,dmg_infra_sorrounding move_restriction,0,1,0,1,0,0,,electrical water,0,1,1,0,0,,yes,no,yes,no,yes,no,????? ???? ???? ?? ???? ?? ????? ?????? ??? ??? 110 ???? .,v2ZtbFxdMLUeS6K3smMjSx,50061921,a199b0de-c5cf-48a8-ab88-c44a330fac03,2019-03-18T09:37:14,,8
2019-03-18T12:37:15.840+03:00,2019-03-18T12:47:43.208+03:00,2019-03-18,ee.humanitarianresponse.info:OWowPIZSl6o9FicH,2019-03-18,Ali Mohammed,DRC,,YE21,YE2113,??? ???,Urban,yes,Credit,0,0,0,0,1,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,365,365,,,YE19,2,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,no,110,130,118,,,yes,yes,,500,500,,,YE21,Wholesaler,1,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Credit,0,0,0,0,1,0,0,0,0,,27,Private,Pumping_Station_or_Borehole,no,1388,15,,20,no,,,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,yes,587,,yes,dmg_infra_market dmg_infra_sorrounding move_restriction,1,1,0,1,0,0,,road electrical water communication,1,1,1,1,0,,yes,yes,yes,no,no,no,????? ???? ?? ?????? ???? ?? ????? ???? ???? 110 ???? ??? ???? ??? ?? ????????? ????? 100 ????,v2ZtbFxdMLUeS6K3smMjSx,50063342,7783330d-7515-4fa7-951c-3a0757a2e4e2,2019-03-18T09:47:54,,9
2019-03-18T12:24:58.427+03:00,2019-03-18T12:48:10.294+03:00,2019-03-18,ee.humanitarianresponse.info:8XCeBGDx37EAiUbI,2019-03-18,Samah Alkhader,DRC,,YE21,YE2113,??? ???,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,365,365,,,YE19,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,200,200,,,yes,yes,,100,100,,,yes,no,110,130,118,,,yes,yes,,400,400,,,YE21,Wholesaler,1,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,36,Private,Pumping_Station_or_Borehole,no,1111,15,,20,yes,10,4000,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,yes,585,,no,,,,,,,,,,,,,,,,yes,yes,no,no,yes,yes,????? ?????? ?????? ???????? ???????? 110 ????,v2ZtbFxdMLUeS6K3smMjSx,50063387,f356599a-e4af-476d-9678-977652693c28,2019-03-18T09:48:11,,10
