date_survey,enumerator_id,select_one_organisation_name,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,_uuid
11/25/2018,Wajdi,ACTED,YE11,YE1102,Al-Da'eri Algharbi,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE18,5,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,100,200,200,yes,yes,75,170,181.3333333,181.3333333,yes,yes,,120,NaN,120,yes,yes,,400,NaN,400,YE11,Wholesaler,9,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,4,Private,Pumping_Station_or_Borehole,no,2000,2,,10,yes,5000,7500,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,530,d429855e-1921-465f-830b-80fedc02632e
11/25/2018,Wajdi,ACTED,YE11,YE1102,Al-Khathabah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE18,3,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,no,,,,,,yes,yes,80,150,150,150,yes,no,110,100,90.90909091,90.90909091,yes,yes,,400,NaN,400,YE11,Wholesaler,11,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,3,Private,Pumping_Station_or_Borehole,no,2200,2,,10,yes,5000,8000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,530,78f171b9-9261-495c-81aa-a464076d5d0c
11/25/2018,Wajdi,ACTED,YE11,YE1102,Gawlat Sanad,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE18,3,Price_inflation Government_regulations Transportation_issues,1,0,0,0,0,1,1,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,100,200,200,yes,yes,80,150,150,150,yes,no,110,100,90.90909091,90.90909091,yes,yes,,600,NaN,600,YE11,Wholesaler,7,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,3,Private,,no,2300,1,,5,yes,5000,0,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,520,f81a3434-0bf6-460b-9e28-5cfee7cee1a5
11/26/2018,Wajdi,ACTED,YE11,YE1116,Al-Daeri-Althalatheen street,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,475,NaN,475,yes,yes,,475,NaN,475,YE30,4,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,70,140,140,yes,yes,80,150,150,150,yes,yes,,120,NaN,120,yes,yes,,400,NaN,400,YE11,Wholesaler,7,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,Do_not_know,2000,1,,10,yes,12000,16000,Price_inflation Shortage_of_demand Transportation_issues Other_see_next_question,1,0,1,0,0,0,1,1,0,0,0,yes,540,e6d5910b-9691-42e0-b70c-691673dba0df
11/26/2018,Wajdi,ACTED,YE11,YE1116,Al-Sayani,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,475,NaN,475,yes,yes,,475,NaN,475,YE30,6,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,yes,,150,NaN,150,yes,yes,80,150,150,150,yes,yes,,120,NaN,120,yes,yes,,450,NaN,450,YE11,Wholesaler,10,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,6,Private,Pumping_Station_or_Borehole,no,2500,1,,5,yes,11000,0,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,535,8366f46b-ba92-48d1-acb9-f446814c50ed
11/26/2018,Wajdi,ACTED,YE11,YE1116,Al-Shara'a Al-A'am,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,475,NaN,475,yes,yes,,475,NaN,475,YE30,8,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,yes,,100,NaN,100,yes,yes,80,150,150,150,yes,yes,,100,NaN,100,yes,yes,,550,NaN,550,YE11,Wholesaler,9,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,5,Private,Pumping_Station_or_Borehole,no,2500,2,,5,yes,12000,0,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,537,cbcce789-cdaa-4472-8058-352fcc02b1a7
11/22/2018,Wajdi,ACTED,YE11,YE1118,Mafraq Giblah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,575,yes,yes,,580,NaN,580,YE18,3,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,100,200,200,yes,yes,80,180,180,180,yes,yes,,120,NaN,120,yes,yes,,400,NaN,400,YE11,Wholesaler,14,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,Cash Mobile_money Bartering,1,1,0,0,0,0,1,0,0,,6,Private,Pumping_Station_or_Borehole,no,2500,2,,10,yes,12000,17000,Price_inflation Shortage_of_demand Insecurity_and_instability Transportation_issues,1,0,1,1,0,0,1,0,0,0,0,yes,520,d9f92afe-75b2-4d0d-a197-c6cf579a1b7b
11/22/2018,Wajdi,ACTED,YE11,YE1118,Mafraq Maitam,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,575,yes,yes,,580,NaN,580,YE18,4,Price_inflation Insecurity_and_instability Government_regulations,1,0,0,1,0,1,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,100,200,200,yes,yes,75,150,160,160,yes,yes,,120,NaN,120,yes,yes,,500,NaN,500,YE11,Wholesaler,8,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,5,Private,Pumping_Station_or_Borehole,no,2000,3,,5,yes,10000,0,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,530,bbe801da-dead-4e76-a44a-9f1453b42623
11/22/2018,Wajdi,ACTED,YE11,YE1118,Muthalath Al-Muwaslat,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,575,yes,yes,,580,NaN,580,YE18,2,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,120,240,240,yes,yes,80,170,170,170,yes,yes,,120,NaN,120,yes,yes,,450,NaN,450,YE11,Wholesaler,10,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,6,Private,Pumping_Station_or_Borehole,no,2500,2,,5,yes,12000,0,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,530,53fc54d1-0e06-4c39-b61b-b8369f7d0242
11/22/2018,Wajdi,ACTED,YE11,YE1119,Al-Da'eri,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,575,yes,yes,,580,NaN,580,YE18,4,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,100,200,200,yes,yes,75,160,170.6666667,170.6666667,yes,yes,,120,NaN,120,yes,yes,,500,NaN,500,YE11,Wholesaler,12,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,6,Private,Pumping_Station_or_Borehole,no,2300,2,,10,yes,10000,15000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,530,be7113fc-d0c1-41c3-ba8d-acb35165caf6
