start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,type_area,fuel_prices,market_name_fuel,type_market,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,market_name_wash,type_market_001,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,market_name_water_trucking,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,market_name_exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,_id,_uuid,_submission_time,_index
2018-10-29T10:40:35.399+03:00,2018-10-29T10:41:54.480+03:00,29/10/2018,ee.humanitarianresponse.info:EeFsRTlzl1QjZcp8,27/10/2018,???,SDF,,YE13,YE1304,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,???? ???? ?????,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,yes,1333,2,,5,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,???? ???????,750,,,39332612,2c498fa1-312b-497c-952e-8ab1b601a42b,2018-10-29T09:40:08,1
2018-10-22T11:21:43.059+03:00,2018-10-22T14:47:37.331+03:00,22/10/2018,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,22/10/2018,Mohammed,NRC,,YE17,YE1715,Urban,yes,Almadenah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,670,NaN,,,yes,yes,,650,NaN,,,YE17,10,Price_inflation Insecurity_and_instability Government_regulations,1,0,0,1,0,1,0,0,0,0,0,,yes,Almadenah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,70,180,,,,yes,no,110,140,127.2727273,,,yes,yes,,450,NaN,,,YE17,Vendor,6,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,yes,Almadenah,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,5000,6,,10,no,,,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,yes,Alnajm,740,,,38109329,a5ccc63e-50d2-4861-a956-105015aba2d6,2018-10-22T11:47:45,2
2018-10-22T14:47:37.659+03:00,2018-10-24T16:26:55.902+03:00,22/10/2018,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,22/10/2018,Mohammed,NRC,,YE17,YE1715,Urban,yes,Almadenah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,700,NaN,,,yes,yes,,680,NaN,,,YE17,9,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,,yes,ALdodah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,70,200,,,,yes,no,500,600,120,,,yes,yes,,450,NaN,,,YE17,Vendor,6,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Aldodah,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,4500,8,,10,no,,,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,yes,Alkuraimi,735,,,38112824,4f16185a-1860-4a7b-b9d6-6e4aaaab53e9,2018-10-22T11:59:59,3
2018-10-22T08:37:11.636+03:00,2018-10-22T15:02:42.788+03:00,22/10/2018,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,22/10/2018,Mohammed,NRC,,YE17,YE1715,Urban,yes,Almadenah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,700,NaN,,,yes,yes,,750,NaN,,,YE17,10,Price_inflation Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,1,0,0,1,1,1,1,0,0,0,0,,yes,Almkhderah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,70,200,,,,yes,no,110,150,136.3636364,,,yes,yes,,500,NaN,,,YE17,Vendor,6,Price_inflation Insecurity_and_instability Supply_shortage,1,0,0,1,1,0,0,0,0,0,0,yes,Almakderah,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,3500,5,,8,no,,,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Alnajm,740,,,38114089,6dfe607e-468f-4011-92bf-63d10cff3dd3,2018-10-22T12:02:50,4
2018-10-23T22:27:49.597+03:00,2018-10-23T22:38:41.586+03:00,23/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,21/10/2018,Wajdi,ACTED,,YE11,YE1119,Urban,yes,Al-Ma'ayeen,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,,,yes,yes,,580,NaN,,,YE18,10,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,,yes,Al-Odain street,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,5,100,200,,,yes,yes,80,130,,,,yes,no,110,100,90.90909091,,,yes,yes,,450,NaN,,,YE11,Wholesaler,12,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Al-Sa'elah,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2300,2,,5,yes,10000,,Price_inflation Shortage_of_demand Transportation_issues Other_see_next_question,1,0,1,0,0,0,1,1,0,0,0,yes,Al-Odain Street,740,,Fuel are Governmental Not Commercial,38388227,d55da5b1-97f1-4550-96e9-b5fc50ff01a6,2018-10-23T19:54:06,5
2018-10-23T22:38:42.088+03:00,2018-10-23T22:49:43.004+03:00,23/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,21/10/2018,Wajdi,ACTED,,YE11,YE1119,Urban,yes,Al-Da'eri,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,,,yes,yes,,580,NaN,,,YE18,7,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,,yes,Al-Da'eri,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,170,NaN,,,yes,no,5,100,200,,,yes,yes,80,150,,,,yes,no,110,120,109.0909091,,,yes,yes,,400,NaN,,,YE11,Wholesaler,8,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Al-Malika Arwa street,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2000,1,,10,yes,12000,15000,Price_inflation Shortage_of_demand Other_see_next_question,1,0,1,0,0,0,0,1,0,0,0,yes,Al-Da'eri,740,,The other constraints faced by the water trucking vendor is high fuel prices,38388278,751b12d1-6055-4122-90f3-b7d98036e64c,2018-10-23T19:55:26,6
2018-10-23T22:09:09.711+03:00,2018-10-23T22:27:49.095+03:00,23/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,21/10/2018,Wajdi,ACTED,,YE11,YE1119,Urban,yes,Gawlat Al-Odain,District_level_market,Cash Credit_debit_Card,1,0,1,0,0,0,0,0,0,,yes,yes,,575,NaN,,,yes,yes,,580,NaN,,,YE18,5,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,,yes,Al-Sabal,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,5,100,200,,,yes,yes,80,150,,,,yes,no,110,130,118.1818182,,,yes,yes,,600,NaN,,,YE11,Wholesaler,10,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Al-Sabal,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2500,1,,10,yes,9000,12000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Al-Sabal,735,,,38394463,bd074b74-d5f7-4805-85a2-bcea718e5980,2018-10-23T21:40:49,7
2018-10-23T12:43:44.296+03:00,2018-10-23T15:19:56.932+03:00,23/10/2018,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,23/10/2018,Mahdi,NRC,,YE18,YE1806,Urban,yes,Alqanawis,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,670,NaN,,,yes,yes,,635,NaN,,,YE18,10,Price_inflation Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,1,0,0,1,1,1,1,0,0,0,0,,yes,Alqanawis,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,70,150,,,,yes,yes,,150,NaN,,,yes,yes,,650,NaN,,,YE18,Vendor,6,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,yes,Alqanawis,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,2500,8,,10,no,,,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,yes,Alnajm,740,,,38416910,a2e80ef6-af4d-4fcb-8dcc-158f3d1d053a,2018-10-24T05:42:04,8
2018-10-23T15:19:57.273+03:00,2018-10-23T15:28:52.994+03:00,23/10/2018,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,23/10/2018,Mahdi,NRC,,YE18,YE1806,Urban,yes,Alqanawis,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,700,NaN,,,yes,yes,,620,NaN,,,YE18,10,Price_inflation Supply_shortage Government_regulations Transportation_issues,1,0,0,0,1,1,1,0,0,0,0,,yes,Alqanawis,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,70,150,,,,yes,yes,,150,NaN,,,yes,yes,,700,NaN,,,YE18,Vendor,6,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,yes,Alqanawis,Cash,1,0,0,0,0,0,0,0,0,,5,Public,Pumping_Station_or_Borehole,no,3000,10,,10,no,,,Price_inflation Insecurity_and_instability Supply_shortage Government_regulations,1,0,0,1,1,1,0,0,0,0,0,yes,Alkuraimi,740,,,38416917,8d2f2a07-ee6d-4666-87fd-df951d36f613,2018-10-24T05:42:06,9
2018-10-24T08:43:09.441+03:00,2018-10-24T08:58:11.467+03:00,24/10/2018,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,24/10/2018,Mahdi,NRC,,YE18,YE1806,Urban,yes,Alqanawis,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,700,NaN,,,yes,yes,,670,NaN,,,YE18,10,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,,yes,Alqanawis,District_level_market,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,no,20,200,100,,,yes,yes,70,170,,,,yes,yes,,150,NaN,,,yes,yes,,700,NaN,,,YE18,Vendor,4,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,yes,Alqanawis,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,3000,7,,10,no,,,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,Alnajm,738,,,38478955,5e3ec158-e10f-4a04-9db5-64b8dbb09f72,2018-10-24T11:37:42,10
