"index","value","variable","has_issue","issue_type"
NA,"15 \\ 11 instance(s)","bottled_quantity_other",NA,"'other' response. may need recoding."
NA,"2 \\ 3 instance(s)","treated_quantity_other",NA,"'other' response. may need recoding."
NA,"5 \\ 9 instance(s)","treated_quantity_other",NA,"'other' response. may need recoding."
NA,"20 \\ 11 instance(s)","treated_quantity_other",NA,"'other' response. may need recoding."
NA,"75 \\ 1 instance(s)","soap_quantity_other",NA,"'other' response. may need recoding."
NA,"100 \\ 3 instance(s)","soap_quantity_other",NA,"'other' response. may need recoding."
NA,"125 \\ 4 instance(s)","soap_quantity_other",NA,"'other' response. may need recoding."
NA,"135 \\ 4 instance(s)","soap_quantity_other",NA,"'other' response. may need recoding."
NA,"5760 \\ 9 instance(s)","soap_quantity_other",NA,"'other' response. may need recoding."
NA,"6750 \\ 2 instance(s)","soap_quantity_other",NA,"'other' response. may need recoding."
NA,"90 \\ 7 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"100 \\ 1 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"110 \\ 4 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"200 \\ 6 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"500 \\ 3 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"700 \\ 4 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"4800 \\ 11 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"5260 \\ 1 instance(s)","laundry_quantity_other",NA,"'other' response. may need recoding."
NA,"6 \\ 3 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
NA,"8 \\ 5 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
NA,"9 \\ 5 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
NA,"120 \\ 1 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
NA,"160 \\ 2 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
NA,"240 \\ 2 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
NA,"320 \\ 1 instance(s)","napkins_quantity_other",NA,"'other' response. may need recoding."
7,"18000","price_petrol",TRUE,"normal distribution outlier"
8,"18500","price_petrol",TRUE,"normal distribution outlier"
9,"18300","price_petrol",TRUE,"normal distribution outlier"
32,"17000","price_petrol",TRUE,"normal distribution outlier"
33,"17500","price_petrol",TRUE,"normal distribution outlier"
34,"17500","price_petrol",TRUE,"normal distribution outlier"
111,"17500","price_petrol",TRUE,"normal distribution outlier"
112,"17200","price_petrol",TRUE,"normal distribution outlier"
113,"17500","price_petrol",TRUE,"normal distribution outlier"
7,"19000","price_diesel",TRUE,"normal distribution outlier"
8,"19800","price_diesel",TRUE,"normal distribution outlier"
9,"19200","price_diesel",TRUE,"normal distribution outlier"
32,"18800","price_diesel",TRUE,"normal distribution outlier"
33,"18500","price_diesel",TRUE,"normal distribution outlier"
34,"18750","price_diesel",TRUE,"normal distribution outlier"
111,"18000","price_diesel",TRUE,"normal distribution outlier"
112,"18500","price_diesel",TRUE,"normal distribution outlier"
113,"18000","price_diesel",TRUE,"normal distribution outlier"
8,"990","calc_price_diesel",TRUE,"log normal distribution outlier"
2,"2200","price_bottled_water",TRUE,"normal distribution outlier"
3,"2150","price_bottled_water",TRUE,"normal distribution outlier"
125,"2100","price_bottled_water",TRUE,"normal distribution outlier"
128,"2000","price_bottled_water",TRUE,"normal distribution outlier"
129,"2000","price_bottled_water",TRUE,"normal distribution outlier"
133,"2300","price_bottled_water",TRUE,"normal distribution outlier"
137,"1700","price_bottled_water",TRUE,"normal distribution outlier"
198,"1700","price_bottled_water",TRUE,"normal distribution outlier"
199,"2350","price_bottled_water",TRUE,"normal distribution outlier"
277,"1750","price_bottled_water",TRUE,"normal distribution outlier"
279,"1600","price_bottled_water",TRUE,"normal distribution outlier"
84,"500","price_treated_water",TRUE,"normal distribution outlier"
178,"500","price_treated_water",TRUE,"normal distribution outlier"
2,"8000","price_soap",TRUE,"normal distribution outlier"
3,"7500","price_soap",TRUE,"normal distribution outlier"
125,"7200","price_soap",TRUE,"normal distribution outlier"
128,"8000","price_soap",TRUE,"normal distribution outlier"
129,"7200","price_soap",TRUE,"normal distribution outlier"
